Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J22 Merfolk 2,S,U,6424,4265,2159,0.6639165628891657,7.098890653478754,9.951839684102342,0.9509830102078629,17.970457209847595,19.355720240852246
JMP Discarding 1,S,B,6386,4131,2255,0.6468838083307235,7.062690645689431,9.911539570421866,0.9496163082441448,19.651900266279352,19.669179600886917
JMP Tree Hugging 4,A,G,6210,3764,2446,0.6061191626409018,5.3410699132791715,8.175472220491088,0.9448007690706388,20.151965993623804,19.677432542927228
J22 Ferocious 4,A,G,6322,3589,2733,0.5677000949066751,6.235714556653703,9.068350182991313,0.9442118754458699,18.921705210365005,18.851811196487375
J22 Rats,A,B,6375,3596,2779,0.564078431372549,4.9716895344141605,7.809000843568775,0.9457704363848715,20.049499443826473,19.919395465994963
J22 Demons 2,A,B,6310,3552,2758,0.5629160063391442,5.813246052884321,8.649921867737586,0.9455586049510881,18.31081081081081,19.252719361856418
JMP Garruk,A,G,6381,3591,2790,0.5627644569816643,5.724645082660381,8.569754231800157,0.9483697163799254,19.04037872458925,19.98494623655914
JMP Angels 2,A,W,6275,3525,2750,0.5617529880478087,5.143683295912856,7.979617390627123,0.9453113649047554,19.693049645390072,18.73818181818182
J22 Blink 4,A,W,6439,3594,2845,0.5581612051560801,6.4206727857291,9.263575271193147,0.9476341618213491,21.17056204785754,20.154657293497365
JMP Heavily Armored 3,A,W,6337,3534,2803,0.5576771342906738,4.658914630107436,7.4777105534059665,0.9395986410995103,20.821731748726656,20.272921869425616
J22 Multi-Headed 2,B,G,6486,3583,2903,0.5524205982115326,5.273144247300038,8.106323019151358,0.94439292395044,18.203181691320122,18.795384085428868
J22 Vehicles,B,W,6465,3529,2936,0.5458623356535189,3.734626896496025,6.5502105981483325,0.9385279005507692,19.172853499574952,19.517029972752045
J22 Morbid 2,B,B,6161,3325,2836,0.5396851160525888,5.251992149705421,8.073960035410813,0.9406559619017977,20.357593984962406,19.576868829337094
J22 Zombies 1,B,B,6391,3429,2962,0.5365357534032232,4.338136643669397,7.16205768254725,0.941307012959284,19.935258092738408,20.328156650911545
JMP Feathered Friends 3,B,W,6472,3465,3007,0.5353831891223733,4.609576494343246,7.4196655302141075,0.9366963452902872,20.72294372294372,20.27369471233788
JMP Doctor 1,B,W,6303,3364,2939,0.5337141043947327,3.5311955480386747,6.357415495813864,0.9420733159250632,21.46373365041617,22.540660088465465
JMP Teferi,B,U,6305,3361,2944,0.5330689928628073,4.691993230978605,7.520980733761917,0.9429958342611038,20.09818506396906,18.96297554347826
JMP Minotaurs 1,B,R,6246,3317,2929,0.5310598783221262,3.99223129774089,6.801549157216922,0.9364392864920106,19.201688272535424,20.77227722772277
JMP Unicorns,B,W,6296,3279,3017,0.5208068614993647,5.040309934869764,7.861763940347558,0.9404846684925978,20.581274778896006,20.4534305601591
J22 Elves 3,B,G,6431,3337,3094,0.5188928626963147,5.6964140298096595,8.525421510624511,0.9430024936049507,20.640395564878634,19.55332902391726
