Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J22 Merfolk 2 & JMP Teferi,S,U,124,102,22,0.8225806451612904,12.589004106407707,15.109645801143472,0.840213898245255,17.901960784313726,19.636363636363637
J22 Merfolk 2 & J22 Think Again 3,S,U,114,92,22,0.8070175438596491,12.434940851170733,14.94042090103693,0.8351600166220654,17.32608695652174,18.818181818181817
J22 Merfolk 2 & JMP Tree Hugging 4,S,UG,136,109,27,0.8014705882352942,12.321858977703762,14.843325878691498,0.840488966995912,18.96330275229358,15.592592592592593
J22 Detective 1 & J22 Merfolk 2,S,U,130,99,31,0.7615384615384615,12.189616735564334,14.648056011568663,0.8194797586681098,18.404040404040405,19.096774193548388
JMP Discarding 1 & JMP Tree Hugging 4,S,BG,117,93,24,0.7948717948717948,12.024058213410374,14.517718273738147,0.8312200201092578,19.93548387096774,16.625
J22 Blink 4 & J22 Merfolk 2,S,WU,141,107,34,0.7588652482269503,11.957809008588292,14.433030163028771,0.8250737181468266,19.214953271028037,20.147058823529413
J22 Merfolk 2 & JMP Wizards 2,S,U,123,96,27,0.7804878048780488,11.633598463061332,14.103076909111778,0.8231594820168151,17.322916666666668,19.88888888888889
JMP Discarding 1 & JMP Minotaurs 1,S,BR,131,97,34,0.7404580152671756,11.550760406638885,14.00543487748328,0.8182248236147983,18.804123711340207,20.58823529411765
J22 Blink 4 & J22 Ferocious 4,S,WG,137,101,36,0.7372262773722628,11.543773841010406,13.98549521012162,0.8139071230370716,20.752475247524753,19.694444444444443
J22 Demons 2 & JMP Discarding 1,S,B,138,105,33,0.7608695652173914,11.50926545099222,13.97822354514976,0.8229860313858465,17.857142857142858,19.03030303030303
J22 Multi-Headed 2 & JMP Garruk,S,G,132,98,34,0.7424242424242424,11.474999823640836,13.923604668508592,0.8162016149559186,18.040816326530614,19.58823529411765
J22 Rats & JMP Discarding 1,S,B,125,94,31,0.752,11.375905255219337,13.81381823744224,0.812637660740968,18.45744680851064,19.0
J22 Merfolk 2 & J22 Rats,S,UB,125,92,33,0.736,11.333697640838869,13.760172539277974,0.8088249661463682,18.141304347826086,20.484848484848484
J22 Ferocious 4 & JMP Garruk,S,G,123,90,33,0.7317073170731707,11.295709226145721,13.736250823944667,0.8135138659329817,17.011111111111113,19.696969696969695
JMP Discarding 1 & JMP Doctor 1,S,WB,138,100,38,0.7246376811594203,11.234775001673858,13.660453941269047,0.8085596465317297,21.1,21.42105263157895
J22 Morbid 2 & JMP Discarding 1,S,B,129,96,33,0.7441860465116279,11.234189490478222,13.674606617379762,0.8134723756338469,19.1875,19.303030303030305
JMP Discarding 1 & JMP Wizards 2,S,UB,116,81,35,0.6982758620689655,11.172843546626693,13.598257857868754,0.808471437080687,20.617283950617285,19.742857142857144
J22 Merfolk 2 & JMP Minotaurs 1,S,UR,130,94,36,0.7230769230769231,11.12664983540607,13.559899410021087,0.8110831915383393,16.5531914893617,21.52777777777778
JMP Angels 2 & JMP Discarding 1,S,WB,165,116,49,0.703030303030303,11.071576918412802,13.50124880007555,0.809890627220916,19.232758620689655,17.979591836734695
J22 Merfolk 2 & JMP Well-Read 3,S,U,142,103,39,0.7253521126760564,11.046572194074507,13.473308516260472,0.8089121073953216,18.04854368932039,18.46153846153846
JMP Feathered Friends 3 & JMP Tree Hugging 4,S,WG,128,91,37,0.7109375,11.031285298458272,13.468479817524438,0.812398173022055,21.153846153846153,20.027027027027028
J22 Ferocious 4 & JMP Tree Hugging 4,S,G,131,93,38,0.7099236641221374,11.021832990944427,13.444759665860488,0.8076422249720203,18.204301075268816,17.55263157894737
J22 Ferocious 4 & J22 Multi-Headed 2,S,G,137,99,38,0.7226277372262774,10.998390838700582,13.419771237602177,0.8071267996338652,16.747474747474747,18.36842105263158
J22 Elves 3 & J22 Zombies 1,S,BG,135,97,38,0.7185185185185186,10.954664769576722,13.369133342505492,0.8048228576429234,20.432989690721648,19.42105263157895
J22 Elves 3 & JMP Tree Hugging 4,S,G,113,79,34,0.6991150442477876,10.943417127705974,13.363096745869571,0.8065598727211991,19.39240506329114,19.764705882352942
J22 Raid 4 & JMP Discarding 1,S,BR,128,90,38,0.703125,10.926282139313416,13.335839413698835,0.8031857581284728,18.344444444444445,18.68421052631579
J22 Merfolk 2 & J22 Teamwork 2,S,WU,121,83,38,0.6859504132231405,10.885378946890594,13.317041468291325,0.8105541738002435,17.72289156626506,18.657894736842106
J22 Merfolk 2 & JMP Feathered Friends 3,S,WU,135,99,36,0.7333333333333333,10.88154848774269,13.320563662609235,0.8130050582888485,18.03030303030303,19.944444444444443
JMP Discarding 1 & JMP Teferi,S,UB,146,99,47,0.678082191780822,10.849142014168855,13.26029288715517,0.8037169576621054,20.141414141414142,18.148936170212767
J22 Merfolk 2 & JMP Doctor 1,S,WU,156,110,46,0.7051282051282052,10.812291471377206,13.226553404580441,0.8047539777344117,18.463636363636365,20.17391304347826
J22 Merfolk 2 & J22 Vehicles,S,WU,157,113,44,0.7197452229299363,10.738458843408223,13.160136917351883,0.8072260246478865,17.0,18.886363636363637
J22 Ferocious 4 & JMP Discarding 1,S,BG,115,80,35,0.6956521739130435,10.726821945825977,13.12678468247263,0.7999875788822177,18.6875,18.314285714285713
J22 Multi-Headed 2 & JMP Discarding 1,S,BG,138,98,40,0.7101449275362319,10.689443189298006,13.105510280584172,0.8053556970953887,18.785714285714285,18.55
JMP Dinosaurs 2 & JMP Tree Hugging 4,S,G,125,90,35,0.72,10.661757554457784,13.076508445582226,0.8049169637081471,20.0,18.37142857142857
JMP Discarding 1 & JMP Phyrexian,S,B,110,74,36,0.6727272727272727,10.651614647578684,13.051235004932302,0.799873452451206,20.472972972972972,18.72222222222222
J22 Merfolk 2 & J22 Zombies 1,S,UB,119,79,40,0.6638655462184874,10.642070661198614,13.053514299016346,0.803814545939244,19.11392405063291,20.2
