Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J25 Angels 1 & J25 Prideful,S,W,85,68,17,0.8,11.257654689568213,13.797670084173859,0.8466717982018821,17.13235294117647,19.529411764705884
J25 Armed 2 & J25 Prideful,S,W,101,78,23,0.7722772277227723,10.748298037983735,13.241379092930902,0.8310270183157223,17.871794871794872,24.043478260869566
J25 Angels 1 & J25 Soaring 2,S,WU,116,90,26,0.7758620689655172,10.609118972307284,13.104516258113765,0.8317990952688269,17.444444444444443,17.23076923076923
J25 Angels 1 & JMP Dinosaurs 1,S,WG,92,73,19,0.7934782608695652,10.52393716010758,13.02650820336969,0.8341903477540368,17.931506849315067,17.105263157894736
J25 Soaring 2 & J25 Stalwart 1,S,WU,109,82,27,0.7522935779816514,10.464932589025416,12.917283925361335,0.8174504454453068,19.5609756097561,17.703703703703702
J25 Icky 2 & J25 Soaring 2,S,UB,119,88,31,0.7394957983193278,10.459053357595309,12.9188082336943,0.8199182920329972,18.09090909090909,17.516129032258064
J22 Merfolk 2 & J25 Prideful,S,WU,113,84,29,0.7433628318584071,10.427028049828062,12.89890777927977,0.8239599098172363,16.107142857142858,19.93103448275862
J25 Vampires 4 & JMP Discarding 1,S,B,115,89,26,0.7739130434782608,10.405450166613797,12.883390956247144,0.825980263211116,21.39325842696629,21.192307692307693
J25 Angels 1 & J25 Armed 2,S,W,102,79,23,0.7745098039215687,10.39009158060422,12.871227945291324,0.8270454548957009,17.734177215189874,18.565217391304348
J22 Merfolk 2 & J25 Illusions,S,U,99,75,24,0.7575757575757576,10.220774726736007,12.681471053467831,0.8202321089106078,17.053333333333335,17.791666666666668
J25 Angels 1 & J25 Landfall 3,S,WG,103,75,28,0.7281553398058253,9.959273088728771,12.407890266157732,0.8162057258096539,17.453333333333333,18.857142857142858
J25 Prideful & J25 Stalwart 1,S,W,121,86,35,0.7107438016528925,9.873601645395771,12.298715999653304,0.8083714514191774,17.953488372093023,21.285714285714285
J25 Icky 2 & J25 Vampires 4,S,B,100,72,28,0.72,9.71125797244116,12.150553388716606,0.8130984720918151,20.65277777777778,21.142857142857142
J25 Angels 1 & J25 Enchanted 3,S,W,91,65,26,0.7142857142857143,9.569069473749826,11.996452160409603,0.809127562219926,18.876923076923077,21.653846153846153
J22 Ferocious 4 & JMP Dinosaurs 1,S,G,108,78,30,0.7222222222222222,9.435382060460418,11.86701809524822,0.8105453449292674,16.5,18.433333333333334
J25 Enchanted 3 & J25 Prideful,S,W,98,73,25,0.7448979591836735,9.431545872918065,11.87174025915349,0.8133981287451418,18.26027397260274,18.12
J22 Merfolk 2 & J25 Nefarious,S,U,119,82,37,0.6890756302521008,9.41116893828192,11.82079285434516,0.8032079720210804,16.951219512195124,18.756756756756758
J25 Angels 1 & JMP Discarding 1,S,WB,101,74,27,0.7326732673267327,9.40036489750294,11.842918455368718,0.8141845192885933,18.864864864864863,18.555555555555557
JMP Dinosaurs 1 & JMP Discarding 1,A,BG,100,70,30,0.7,9.37078383529727,11.792437456474435,0.8072178737257215,17.642857142857142,18.533333333333335
J25 Prideful & J25 Soaring 2,A,WU,107,74,33,0.6915887850467289,9.352599718800803,11.767512485848716,0.8049709223493043,17.2027027027027,18.151515151515152
J25 Armed 2 & JMP Feathered Friends 3,A,W,109,74,35,0.6788990825688074,9.306963986727073,11.70467088551544,0.7992356329294562,19.405405405405407,20.942857142857143
J25 Grave Robbers 4 & J25 Vampires 4,A,B,95,68,27,0.7157894736842105,9.304367130854207,11.715380653778197,0.8036711743079966,20.705882352941178,21.62962962962963
J25 Enchanted 3 & J25 Stalwart 1,A,W,91,65,26,0.7142857142857143,9.29290126000706,11.706690795425342,0.8045965118060939,20.046153846153846,20.0
J25 Prideful & JMP Discarding 1,A,WB,98,67,31,0.6836734693877551,9.231942740967273,11.631706441068012,0.7999212333669131,18.134328358208954,20.580645161290324
