Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J25 Healers 2 & J25 Healers 2,S,W,182,151,31,0.8296703296703297,15.773533765700527,18.41641424193639,0.8809601587452873,17.496688741721854,19.612903225806452
J25 Healers 3 & J25 Healers 3,S,W,161,130,31,0.8074534161490683,15.68018469319486,18.251296765535702,0.857037357446947,15.853846153846154,20.29032258064516
J25 Prideful & J25 Prideful,S,W,170,131,39,0.7705882352941177,14.738585034695191,17.248534977649975,0.8366499809849279,15.038167938931299,20.435897435897434
J25 Legion 1 & J25 Legion 1,S,W,149,113,36,0.7583892617449665,14.030477889203892,16.519064473587857,0.8295288614613215,16.398230088495577,17.61111111111111
J25 Healers 1 & J25 Healers 1,S,W,159,121,38,0.7610062893081762,13.862868641510808,16.335354388188,0.8241619155590646,17.28099173553719,20.5
J25 Vampires 3 & J25 Vampires 3,S,B,151,112,39,0.7417218543046358,13.814946682530277,16.30171080589479,0.8289213744548378,17.598214285714285,18.76923076923077
J25 Healers 4 & J25 Healers 4,S,W,160,124,36,0.775,13.606896779116266,16.0836526901576,0.8255853036804445,19.572580645161292,22.055555555555557
J25 Enchanted 3 & J25 Enchanted 3,S,W,192,142,50,0.7395833333333334,13.57080330636342,16.062037369141017,0.8304113542591987,19.56338028169014,19.54
J25 Angels 1 & J25 Angels 1,S,W,177,132,45,0.7457627118644068,13.302968571945431,15.75509189662832,0.8173744415609631,18.098484848484848,17.88888888888889
J25 Enchanted 4 & J25 Enchanted 4,A,W,177,129,48,0.7288135593220338,12.980864151123695,15.400013062560337,0.8063829704788804,17.953488372093023,18.020833333333332
J25 Goblins 2 & J25 Goblins 2,A,R,170,119,51,0.7,12.893557034379207,15.322291924062858,0.8095782965612172,15.277310924369749,20.294117647058822
J25 Dinosaurs 1 & J25 Dinosaurs 1,A,G,165,115,50,0.696969696969697,12.617552793223147,15.046639886747315,0.8096956978413894,17.14782608695652,16.86
J25 Armed 4 & J25 Armed 4,A,W,140,101,39,0.7214285714285714,12.39650954461176,14.864913762565923,0.8228014059847211,19.91089108910891,17.871794871794872
J25 Stalwart 1 & J25 Stalwart 1,A,W,149,104,45,0.697986577181208,12.305436223451235,14.744226291738656,0.8129300227624736,18.375,20.0
J25 Armed 2 & J25 Armed 2,A,W,140,99,41,0.7071428571428572,12.088157576143725,14.520625608055319,0.8108226773038645,17.848484848484848,18.317073170731707
J25 Soaring 3 & J25 Soaring 3,A,U,154,106,48,0.6883116883116883,12.019815113859515,14.458607690622962,0.8129308589211491,16.528301886792452,19.270833333333332
J25 Goblins 1 & J25 Goblins 1,A,R,156,103,53,0.6602564102564102,11.9623564274965,14.37990679770086,0.8058501234014533,14.766990291262136,18.245283018867923
J25 Ghastly 3 & J25 Ghastly 3,A,B,161,108,53,0.6708074534161491,11.910689731298449,14.316609302496303,0.8019731903992847,19.435185185185187,17.735849056603772
J25 Dinosaurs 2 & J25 Dinosaurs 2,A,G,153,92,61,0.6013071895424836,11.777390384494035,14.178462590954055,0.8003574021533398,17.434782608695652,16.557377049180328
J25 Vampires 4 & J25 Vampires 4,A,B,152,96,56,0.631578947368421,11.686523724748463,14.099515876384329,0.8043307172119551,22.833333333333332,21.303571428571427
J25 Vampires 2 & J25 Vampires 2,A,B,165,113,52,0.6848484848484848,11.606003705098871,14.026422407754765,0.8068062342186316,18.858407079646017,19.365384615384617
J25 Stalwart 3 & J25 Stalwart 3,A,W,156,98,58,0.6282051282051282,11.549169833007275,13.957645671906166,0.8028252796329635,19.632653061224488,18.17241379310345
J25 Icky 2 & J25 Icky 2,A,B,166,103,63,0.6204819277108434,11.44643265605129,13.831411751143428,0.7949930316973796,20.04854368932039,17.58730158730159
J25 Goblins 4 & J25 Goblins 4,A,R,173,111,62,0.6416184971098265,11.401061868773592,13.802284872232155,0.8004076678195209,13.945945945945946,17.983870967741936
J25 Legion 2 & J25 Legion 2,A,W,174,112,62,0.6436781609195402,11.292781671734152,13.677681644089002,0.7949666574516164,16.267857142857142,17.93548387096774
J25 Angels 2 & J25 Angels 2,A,W,196,126,70,0.6428571428571429,11.267721950345775,13.69884893899542,0.810375662883215,16.436507936507937,17.242857142857144
J25 Soaring 2 & J25 Soaring 2,A,U,164,105,59,0.6402439024390244,11.166063104034462,13.553425308782057,0.7957874015825315,16.447619047619046,16.1864406779661
J25 Stalwart 2 & J25 Stalwart 2,A,W,190,116,74,0.6105263157894737,11.042087308199093,13.433576432139134,0.797163041313347,18.517241379310345,19.135135135135137
J25 Elves 1 & J25 Elves 1,A,G,167,110,57,0.6586826347305389,10.982091996580632,13.377644195797673,0.7985173997390137,17.836363636363636,18.31578947368421
J25 Stalwart 4 & J25 Stalwart 4,A,W,167,103,64,0.6167664670658682,10.899683433664048,13.298924483836753,0.7997470167242346,18.640776699029125,17.46875
J25 Enchanted 2 & J25 Enchanted 2,A,W,168,97,71,0.5773809523809523,10.89820611751673,13.31144633489734,0.8044134057935365,21.989690721649485,19.6056338028169
J25 Armed 3 & J25 Armed 3,A,W,196,118,78,0.6020408163265306,10.886273921705792,13.279915482599094,0.7978805202977676,16.161016949152543,16.564102564102566
J25 Ghastly 2 & J25 Ghastly 2,A,B,167,104,63,0.6227544910179641,10.846709703336703,13.248295646092236,0.800528647585178,19.182692307692307,18.714285714285715
J25 Beasts 2 & J25 Beasts 2,A,G,175,107,68,0.6114285714285714,10.747071510404693,13.136851600131067,0.7965933632421248,17.8411214953271,16.941176470588236
J25 Vampires 1 & J25 Vampires 1,A,B,185,112,73,0.6054054054054054,10.656282379749895,13.052917311742577,0.7988783106642275,19.410714285714285,22.246575342465754
J25 Giddyap & J25 Giddyap,A,W,170,101,69,0.5941176470588235,10.619713523036573,13.025787999106566,0.8020248253566644,19.198019801980198,19.420289855072465
J25 Clerics 1 & J25 Clerics 1,A,B,172,99,73,0.5755813953488372,10.596698474031054,12.977035078543125,0.7934455348373566,18.86868686868687,20.10958904109589
J25 Beasts 1 & J25 Beasts 1,A,G,162,93,69,0.5740740740740741,10.567531026352732,12.941557940100942,0.7913423045827369,19.752688172043012,19.014492753623188
J25 Nefarious & J25 Nefarious,A,U,162,95,67,0.5864197530864198,10.528612284188341,12.921191965357345,0.7975265603896677,15.894736842105264,17.16417910447761
J25 Elves 2 & J25 Elves 2,B,G,167,100,67,0.5988023952095808,10.498118814796939,12.87933865773696,0.7937399476466737,16.0,19.65671641791045
J25 Ne'er-do-wells 2 & J25 Ne'er-do-wells 2,B,B,162,94,68,0.5802469135802469,10.470895518454398,12.868103587040927,0.7990693561955097,17.138297872340427,16.941176470588236
J25 Illusions & J25 Illusions,B,U,171,94,77,0.5497076023391813,10.417268837751415,12.803584178101957,0.7954384467835137,16.45744680851064,16.233766233766232
J25 Explorers 3 & J25 Explorers 3,B,G,165,92,73,0.5575757575757576,10.31406355332074,12.712161336271015,0.7993659276500914,18.66304347826087,16.45205479452055
J25 Landfall 3 & J25 Landfall 3,B,G,166,96,70,0.5783132530120482,10.231837953613056,12.60240550444258,0.790189183609841,14.229166666666666,16.65714285714286
J25 Enchanted 1 & J25 Enchanted 1,B,W,186,100,86,0.5376344086021505,10.185954178607393,12.569505937440839,0.7945172529444825,18.57,17.732558139534884
J25 Inventive 1 & J25 Inventive 1,B,U,159,93,66,0.5849056603773585,10.17657680280669,12.575844670468753,0.7997559558873543,20.150537634408604,19.28787878787879
J25 Landfall 1 & J25 Landfall 1,B,G,154,83,71,0.538961038961039,10.10115786399149,12.468096963146078,0.7889796997181956,16.42168674698795,15.492957746478874
J25 Landfall 2 & J25 Landfall 2,B,G,177,93,84,0.5254237288135594,10.082788285628801,12.471611360967492,0.7962743584462303,20.913978494623656,18.178571428571427
J25 Encounter 4 & J25 Encounter 4,B,G,167,89,78,0.5329341317365269,9.917402265726297,12.288798359857509,0.790465364710404,17.876404494382022,16.641025641025642
J25 Explorers 4 & J25 Explorers 4,B,G,168,86,82,0.5119047619047619,9.893103994122283,12.283199761909898,0.7966985892625386,17.3953488372093,19.402439024390244
J25 Ghastly 1 & J25 Ghastly 1,B,B,186,90,96,0.4838709677419355,9.711023791452188,12.066872638427565,0.7852829489917926,20.966666666666665,18.083333333333332
J25 Burning & J25 Burning,B,R,158,78,80,0.4936708860759494,9.55575856473115,11.923282841491464,0.7891747589201046,17.615384615384617,17.65
J25 Landfall 4 & J25 Landfall 4,B,G,150,79,71,0.5266666666666666,9.52797960961546,11.898765762901581,0.7902620510953733,14.79746835443038,17.028169014084508
J25 Grave Robbers 4 & J25 Grave Robbers 4,B,B,154,85,69,0.551948051948052,9.484699829323006,11.855546386903235,0.7902821858600764,20.870588235294118,17.420289855072465
J25 Ghastly 4 & J25 Ghastly 4,B,B,176,92,84,0.5227272727272727,9.19316502235828,11.572628550348156,0.793154509329959,18.77173913043478,17.80952380952381
J25 Wizards 2 & J25 Wizards 2,B,U,158,78,80,0.4936708860759494,9.186584390638828,11.564662039423563,0.792692549594912,18.55128205128205,20.275
J25 Icky 1 & J25 Icky 1,B,B,153,77,76,0.5032679738562091,9.174397583267861,11.570479254216819,0.7986938903163192,17.363636363636363,18.855263157894736
J25 Wizards 1 & J25 Wizards 1,B,U,178,86,92,0.48314606741573035,9.173686815222144,11.551550259643985,0.792621148140614,19.872093023255815,21.57608695652174
J25 Encounter 3 & J25 Encounter 3,B,G,158,83,75,0.5253164556962026,9.100241744213074,11.460772584822353,0.7868436135364262,17.674698795180724,16.506666666666668
J25 Fun Guys 2 & J25 Fun Guys 2,B,G,174,89,85,0.5114942528735632,9.094702682092162,11.481546931323347,0.7956147497437283,17.820224719101123,19.141176470588235
J25 Grave Robbers 3 & J25 Grave Robbers 3,B,B,175,89,86,0.5085714285714286,9.092696354449021,11.462577343913466,0.7899603298214812,21.426966292134832,18.290697674418606
J25 Soaring 4 & J25 Soaring 4,B,U,172,81,91,0.47093023255813954,8.983791023057798,11.356290949253172,0.790833308731791,15.74074074074074,16.593406593406595
J25 Elves 4 & J25 Elves 4,B,G,181,87,94,0.48066298342541436,8.950483383389487,11.316765428541581,0.7887606817173646,18.195402298850574,16.914893617021278
J25 Fun Guys 1 & J25 Fun Guys 1,B,G,161,73,88,0.453416149068323,8.940086440822753,11.311112117202033,0.7903418921264262,18.63013698630137,19.71590909090909
J25 Soaring 1 & J25 Soaring 1,B,U,171,81,90,0.47368421052631576,8.936380919579713,11.311176031545058,0.7915983706551147,16.925925925925927,17.522222222222222
J25 Warriors 1 & J25 Warriors 1,B,R,173,87,86,0.5028901734104047,8.822136317934461,11.19908110199848,0.7923149280213394,16.885057471264368,18.488372093023255
J25 Explorers 1 & J25 Explorers 1,B,G,162,74,88,0.4567901234567901,8.817967612679418,11.204027960313635,0.7953534492114055,17.824324324324323,18.03409090909091
J25 Ne'er-do-wells 1 & J25 Ne'er-do-wells 1,B,B,178,89,89,0.5,8.80605865348193,11.201815857595316,0.7985857347044617,18.629213483146067,18.471910112359552
J25 Bloody 2 & J25 Bloody 2,B,R,180,87,93,0.48333333333333334,8.78447301322484,11.165166811144957,0.7935645993067053,16.160919540229884,16.956989247311828
J25 Dragons 1 & J25 Dragons 1,B,R,163,79,84,0.48466257668711654,8.733413547070487,11.113648396369925,0.7934116164331461,16.810126582278482,16.94047619047619
J25 Warriors 2 & J25 Warriors 2,B,R,159,78,81,0.49056603773584906,8.70535062285765,11.071545254472298,0.7887315438715496,15.41025641025641,18.02469135802469
J25 Heroes 1 & J25 Heroes 1,B,W,156,74,82,0.47435897435897434,8.679008030937615,11.068654855095781,0.7965489413860557,16.986486486486488,18.9390243902439
J25 Heroes 2 & J25 Heroes 2,B,W,158,71,87,0.44936708860759494,8.505509721031524,10.870031746864722,0.7881740086110658,16.859154929577464,19.310344827586206
J25 Encounter 1 & J25 Encounter 1,B,G,155,71,84,0.45806451612903226,8.475457550129041,10.857887897422918,0.794143449097959,17.87323943661972,16.80952380952381
J25 Too Many & J25 Too Many,B,R,169,81,88,0.47928994082840237,8.46629599998021,10.8366863598078,0.7901301199425301,15.703703703703704,16.727272727272727
J25 Clerics 4 & J25 Clerics 4,B,B,190,82,108,0.43157894736842106,8.409737925598339,10.791669215000065,0.7939770964672415,19.0,18.62962962962963
J25 Armed 1 & J25 Armed 1,B,W,156,65,91,0.4166666666666667,8.335517766659946,10.729431127089612,0.7979711201432221,21.584615384615386,18.89010989010989
J25 Elves 3 & J25 Elves 3,B,G,168,78,90,0.4642857142857143,8.275152786923547,10.665373129762465,0.796740114279639,17.666666666666668,19.544444444444444
J25 Zealots 2 & J25 Zealots 2,B,R,154,67,87,0.43506493506493504,8.129547273425402,10.510574204357074,0.7936756436438904,16.597014925373134,16.7816091954023
J25 Inventive 4 & J25 Inventive 4,B,U,160,69,91,0.43125,8.093116572978074,10.468855461249396,0.7919129627571072,19.681159420289855,19.197802197802197
J25 Explorers 2 & J25 Explorers 2,B,G,139,59,80,0.4244604316546763,8.074627909007894,10.465423757729754,0.7969319495739532,19.050847457627118,16.9
J25 Inventive 3 & J25 Inventive 3,B,U,176,80,96,0.45454545454545453,8.042328198447116,10.417369526633369,0.7916804427287506,19.1625,17.1875
J25 Surprise 1 & J25 Surprise 1,B,U,161,61,100,0.37888198757763975,7.907678889775887,10.312907889164988,0.8017429997963667,18.557377049180328,17.0
J25 Encounter 2 & J25 Encounter 2,C,G,152,66,86,0.4342105263157895,7.785461064658086,10.17105074932665,0.795196561556188,17.606060606060606,16.174418604651162
J25 Bloody 1 & J25 Bloody 1,C,R,167,70,97,0.41916167664670656,7.605235761764737,9.980944950826842,0.7919030630207017,16.17142857142857,17.15463917525773
J25 Stoked 4 & J25 Stoked 4,C,R,150,61,89,0.4066666666666667,7.602279439961042,10.000999400251745,0.799573320096901,14.918032786885245,18.348314606741575
J25 Goblins 3 & J25 Goblins 3,C,R,190,83,107,0.4368421052631579,7.577353617646403,9.969696785568981,0.7974477226408595,16.795180722891565,18.08411214953271
J25 Treasures 2 & J25 Treasures 2,C,B,178,75,103,0.42134831460674155,7.5749070247090975,9.951851011440926,0.7923146622439428,19.14666666666667,17.155339805825243
J25 Clerics 3 & J25 Clerics 3,C,B,202,80,122,0.39603960396039606,7.502289567916372,9.90417829486855,0.8006295756507263,20.0625,18.90983606557377
J25 Bloody 4 & J25 Bloody 4,C,R,168,70,98,0.4166666666666667,7.486901232767947,9.887330228298422,0.8001429985101584,16.885714285714286,17.06122448979592
J25 Zealots 1 & J25 Zealots 1,C,R,155,65,90,0.41935483870967744,7.4059100150993675,9.809825533683226,0.801305172861286,14.461538461538462,17.211111111111112
J25 Bloody 3 & J25 Bloody 3,C,R,167,65,102,0.38922155688622756,7.30739880356799,9.708789343390844,0.8004635132742847,16.046153846153846,16.92156862745098
J25 Grave Robbers 1 & J25 Grave Robbers 1,C,B,174,74,100,0.42528735632183906,7.301649778582759,9.695294802985314,0.7978816748008517,21.675675675675677,19.15
J25 Stoked 2 & J25 Stoked 2,C,R,147,59,88,0.4013605442176871,7.0809279185300165,9.467223229080512,0.7954317701834984,16.0,18.681818181818183
J25 Snakes & J25 Snakes,C,U,156,58,98,0.3717948717948718,6.979742045412685,9.376302175322728,0.7988533766366811,17.862068965517242,16.755102040816325
J25 Clerics 2 & J25 Clerics 2,C,B,175,66,109,0.37714285714285717,6.65542080853449,9.060036638458142,0.8015386099745505,20.0,17.862385321100916
J25 Copied 2 & J25 Copied 2,C,R,154,54,100,0.35064935064935066,6.538105172725908,8.95239189348039,0.8047622402514941,14.833333333333334,16.08
J25 Surprise 2 & J25 Surprise 2,C,U,166,58,108,0.3493975903614458,6.529406474283559,8.96163647847058,0.8107433347290074,17.413793103448278,15.722222222222221
J25 Zealots 4 & J25 Zealots 4,C,R,194,71,123,0.36597938144329895,6.526635329220314,8.944353840141286,0.8059061703069907,15.95774647887324,17.414634146341463
J25 Modified & J25 Modified,C,G,178,58,120,0.3258426966292135,6.502404903584698,8.919386051437202,0.8056603826175014,18.0,17.491666666666667
J25 Stoked 1 & J25 Stoked 1,C,R,175,58,117,0.3314285714285714,6.485056919565469,8.905100240820309,0.8066811070849463,14.413793103448276,16.53846153846154
J25 Surprise 4 & J25 Surprise 4,C,U,160,54,106,0.3375,6.431292897690849,8.837340692015383,0.8020159314415114,17.11111111111111,17.632075471698112
J25 Stoked 3 & J25 Stoked 3,C,R,184,58,126,0.31521739130434784,6.226592493469419,8.664358678128773,0.8125887282197845,15.982758620689655,16.904761904761905
J25 Inventive 2 & J25 Inventive 2,C,U,156,53,103,0.33974358974358976,6.049284132120257,8.477719901185203,0.8094785896883154,19.150943396226417,16.59223300970874
J25 Bookworms 4 & J25 Bookworms 4,C,U,142,53,89,0.3732394366197183,6.00199210449964,8.408204667621002,0.8020708543737873,18.30188679245283,16.55056179775281
J25 Treasures 1 & J25 Treasures 1,C,B,161,57,104,0.35403726708074534,5.9145474970819825,8.344169833818942,0.8098741122456531,19.263157894736842,17.932692307692307
J25 Dinner & J25 Dinner,C,G,166,57,109,0.3433734939759036,5.777352227798043,8.198948409213715,0.8071987271385572,21.80701754385965,18.862385321100916
J25 Dragons 2 & J25 Dragons 2,C,R,160,56,104,0.35,5.773920593164881,8.183831059659015,0.8033034888313779,17.714285714285715,16.73076923076923
J25 Grave Robbers 2 & J25 Grave Robbers 2,C,B,164,59,105,0.3597560975609756,5.747016226034719,8.15459177965932,0.8025251845415337,18.16949152542373,17.733333333333334
J25 Zealots 3 & J25 Zealots 3,C,R,177,53,124,0.2994350282485876,5.73678042804261,8.141346678921758,0.8015220836263829,15.566037735849056,18.443548387096776
J25 Chaos & J25 Chaos,C,R,155,44,111,0.2838709677419355,5.5693372393655585,7.9926043286370145,0.8077556964238187,18.636363636363637,16.38738738738739
J25 Copied 1 & J25 Copied 1,C,R,171,55,116,0.3216374269005848,5.510618096235847,7.957593305575717,0.8156584031132901,15.254545454545454,16.57758620689655
J25 Ninjas & J25 Ninjas,D,U,157,42,115,0.267515923566879,4.955331280915334,7.415379697282068,0.8200161387889114,17.785714285714285,16.704347826086956
J25 Drowned 1 & J25 Drowned 1,D,U,181,44,137,0.2430939226519337,4.291670266014476,6.780322520408392,0.8295507514646386,21.068181818181817,17.7007299270073
J25 Drowned 2 & J25 Drowned 2,D,U,161,35,126,0.21739130434782608,3.9999291123640623,6.474556618288387,0.8248758353081084,22.6,16.523809523809526
J25 Surprise 3 & J25 Surprise 3,D,U,177,45,132,0.2542372881355932,3.7986766899646978,6.291303164348225,0.8308754914611757,17.333333333333332,17.318181818181817
J25 Of the Coast 1 & J25 Of the Coast 1,D,U,154,28,126,0.18181818181818182,2.9548592163418785,5.517778717232362,0.8543065002968279,25.964285714285715,18.103174603174605
J25 Bookworms 3 & J25 Bookworms 3,D,U,173,36,137,0.20809248554913296,2.886146184162902,5.412679262481703,0.8421776927729336,17.38888888888889,17.554744525547445
J25 Bookworms 1 & J25 Bookworms 1,E,U,159,29,130,0.18238993710691823,2.1116279862507517,4.72017434844286,0.8695154540640363,18.03448275862069,17.884615384615383
J25 Bookworms 2 & J25 Bookworms 2,E,U,148,20,128,0.13513513513513514,0.9328035941526855,3.5997330704100996,0.8889764920858046,17.8,17.3203125
J25 Of the Coast 2 & J25 Of the Coast 2,E,U,165,18,147,0.10909090909090909,0.0,2.788670505707937,0.929556835235979,26.944444444444443,19.401360544217688
