Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
JMP Dinosaurs 1 & JMP Dinosaurs 1,S,G,160,125,35,0.78125,13.12635724330788,15.653669253641029,0.8424373367777166,15.576,17.65714285714286
JMP Vampires 4 & JMP Vampires 4,S,B,205,161,44,0.7853658536585366,12.5291380785748,15.041154229070203,0.837338716831801,17.211180124223603,18.522727272727273
JMP Enchanted 1 & JMP Enchanted 1,S,W,168,120,48,0.7142857142857143,12.177630370914137,14.604913113732112,0.8090942476059911,18.908333333333335,22.4375
JMP Goblins 1 & JMP Goblins 1,S,R,156,114,42,0.7307692307692307,12.070904096570619,14.523435217875809,0.8175103737683969,16.54385964912281,18.952380952380953
JMP Discarding 1 & JMP Discarding 1,S,B,156,112,44,0.717948717948718,11.73513295889843,14.173352677601477,0.8127399062343494,18.455357142857142,16.795454545454547
JMP Discarding 2 & JMP Discarding 2,S,B,139,101,38,0.7266187050359713,11.506176206995951,13.938841519499507,0.8108884375011853,18.138613861386137,17.94736842105263
JMP Doctor 1 & JMP Doctor 1,S,W,154,104,50,0.6753246753246753,11.236825636383298,13.669855301046702,0.8110098882211352,21.33653846153846,23.32
JMP Goblins 3 & JMP Goblins 3,S,R,157,111,46,0.7070063694267515,11.224562393687894,13.656313983190367,0.8105838631674909,14.036036036036036,17.043478260869566
JMP Vampires 3 & JMP Vampires 3,S,B,154,104,50,0.6753246753246753,11.136457582645011,13.604402945659869,0.8226484543382859,19.846153846153847,18.78
JMP Doctor 4 & JMP Doctor 4,S,W,167,113,54,0.6766467065868264,11.084127391623408,13.490448317931868,0.8021069754361531,21.17699115044248,18.77777777777778
JMP Pirates 2 & JMP Pirates 2,S,U,180,122,58,0.6777777777777778,11.070304586553664,13.493635388932264,0.8077769341261996,15.254098360655737,17.396551724137932
JMP Wizards 1 & JMP Wizards 1,A,U,143,98,45,0.6853146853146853,10.781323252031477,13.217967657575558,0.8122148018480274,19.806122448979593,20.533333333333335
JMP Dragons 2 & JMP Dragons 2,A,R,153,104,49,0.6797385620915033,10.76272969173557,13.20978588886229,0.81568539904224,16.60576923076923,16.79591836734694
JMP Doctor 3 & JMP Doctor 3,A,W,153,102,51,0.6666666666666666,10.734923124581957,13.152701162277527,0.80592601256519,23.862745098039216,23.235294117647058
JMP Garruk & JMP Garruk,A,G,161,110,51,0.6832298136645962,10.734222220476987,13.142158864926106,0.8026455481497067,17.227272727272727,17.705882352941178
JMP Pirates 1 & JMP Pirates 1,A,U,168,104,64,0.6190476190476191,10.68925673828447,13.080550479159829,0.7970979136251193,15.375,16.828125
JMP Goblins 2 & JMP Goblins 2,A,R,161,106,55,0.6583850931677019,10.635718471256094,13.045260681224384,0.8031807366560967,15.89622641509434,17.836363636363636
JMP Rogues 1 & JMP Rogues 1,A,B,166,110,56,0.6626506024096386,10.566581294479153,12.977612901022235,0.8036772021810271,17.12727272727273,17.178571428571427
JMP Wizards 3 & JMP Wizards 3,A,U,166,107,59,0.6445783132530121,10.536580996206197,12.942422000217636,0.8019470013371462,18.97196261682243,19.35593220338983
JMP Tree Hugging 4 & JMP Tree Hugging 4,A,G,177,113,64,0.6384180790960452,10.305539847989559,12.725304796733838,0.806588316248093,19.36283185840708,18.5625
JMP Dinosaurs 4 & JMP Dinosaurs 4,A,G,158,101,57,0.6392405063291139,10.249605008980954,12.665871555240908,0.8054221820866518,17.396039603960396,17.210526315789473
JMP Vampires 1 & JMP Vampires 1,A,B,179,115,64,0.6424581005586593,10.203243315020195,12.608382371562435,0.8017130188474133,18.68695652173913,18.921875
JMP Basri & JMP Basri,A,W,174,107,67,0.6149425287356322,10.16672626838631,12.560043571456362,0.7977724343566844,20.57943925233645,19.582089552238806
JMP Spirits 1 & JMP Spirits 1,A,U,186,119,67,0.6397849462365591,10.119348446643853,12.530374014467064,0.8036751892744038,17.10924369747899,18.029850746268657
JMP Heavily Armored 3 & JMP Heavily Armored 3,A,W,167,108,59,0.6467065868263473,9.738714327918805,12.136325200202055,0.7992036240944166,21.574074074074073,19.016949152542374
JMP Dinosaurs 3 & JMP Dinosaurs 3,A,G,169,108,61,0.6390532544378699,9.73720088372136,12.124524058157144,0.7957743914785942,16.37962962962963,15.885245901639344
JMP Above the Clouds 4 & JMP Above the Clouds 4,A,U,175,105,70,0.6,9.735560852597303,12.133680114263695,0.7993730872221311,17.895238095238096,18.87142857142857
JMP Vampires 2 & JMP Vampires 2,A,B,170,107,63,0.6294117647058823,9.700658555934192,12.129501313560478,0.8096142525420954,19.80373831775701,19.158730158730158
JMP Dragons 1 & JMP Dragons 1,A,R,159,100,59,0.6289308176100629,9.624647539348238,12.003249399521158,0.7928672867243063,15.46,16.54237288135593
JMP Rogues 2 & JMP Rogues 2,A,B,153,89,64,0.5816993464052288,9.56067651020535,11.933939191785013,0.7910875605265539,16.55056179775281,19.109375
JMP Tree Hugging 2 & JMP Tree Hugging 2,A,G,160,93,67,0.58125,9.530261533613128,11.925853184551091,0.798530550312654,20.741935483870968,21.17910447761194
JMP Milling & JMP Milling,A,U,180,108,72,0.6,9.45239429170892,11.814569261963497,0.7873916567515253,18.63888888888889,16.61111111111111
JMP Minotaurs 1 & JMP Minotaurs 1,A,R,170,97,73,0.5705882352941176,9.417335247738379,11.786780422546908,0.7898150582695096,18.484536082474225,20.438356164383563
JMP Minotaurs 2 & JMP Minotaurs 2,A,R,167,99,68,0.592814371257485,9.191217963016182,11.564491089110915,0.7910910420315772,15.747474747474747,18.720588235294116
JMP Smashing 1 & JMP Smashing 1,A,R,159,94,65,0.5911949685534591,9.11618414354609,11.476036039221837,0.7866172985585825,15.648936170212766,19.630769230769232
JMP Elves 1 & JMP Elves 1,A,G,164,95,69,0.5792682926829268,8.975016814028148,11.355661756007686,0.7935483139931795,15.294736842105262,16.17391304347826
