Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J25 Drowned 2,S,U,2,2,0,1.0,26.761435533141544,43.31220422442929,5.516922897095915,22.0,NaN
J22 Ferocious 2,S,G,3,3,0,1.0,32.71513987585282,47.54935528272285,4.944738468956677,19.333333333333332,NaN
J25 Bloody 1,S,R,3,3,0,1.0,39.210890919428195,52.20950111163203,4.332870064067945,16.0,NaN
J25 Beasts 2,S,G,4,4,0,1.0,38.072065890293615,51.5356271794553,4.487853763053892,17.75,NaN
JMP Dogs 1,S,W,2,2,0,1.0,24.917578490740773,42.51442618690801,5.865615898722412,19.5,NaN
JMP Heavily Armored 3,S,W,4,4,0,1.0,37.331273978246,50.535502224853055,4.401409415535683,15.75,NaN
JMP Dinosaurs 1,S,G,3,3,0,1.0,27.367410208520745,43.92897675902055,5.520522183499935,14.0,NaN
J22 Fiery 3,S,R,1,1,0,1.0,22.29480318657925,41.74570899910887,6.483635270843206,15.0,NaN
J25 Vampires 2,S,B,3,3,0,1.0,39.3532419939875,52.833271205455176,4.4933430704892245,24.333333333333332,NaN
J25 Ghastly 3,S,B,5,5,0,1.0,42.11216553313935,53.85735694387202,3.915063803577559,18.4,NaN
J25 Goblins 4,S,R,2,2,0,1.0,30.475134477581943,46.6089714486076,5.377945657008552,18.5,NaN
J25 Dinner,S,G,2,2,0,1.0,33.4697251657623,48.2831056963786,4.937793510205432,23.5,NaN
J25 Encounter 3,S,G,3,3,0,1.0,30.348811751714486,45.86238081741554,5.1711896885670185,17.333333333333332,NaN
J22 Inventive 4,S,U,2,2,0,1.0,31.68722338871963,47.12165499416124,5.144810535147203,17.5,NaN
J22 Inventive 2,S,U,1,1,0,1.0,25.480187029045396,43.40021656768149,5.973343179545364,15.0,NaN
J22 Wolves 4,S,G,2,2,0,1.0,29.74717044570822,46.315373140225844,5.522734231505874,30.0,NaN
J25 Ne'er-do-wells 2,S,B,1,1,0,1.0,29.712438975712214,46.314204289701124,5.533921771329637,16.0,NaN
J22 Gross 3,S,B,5,5,0,1.0,40.05467531749885,52.927768419775546,4.291031034092233,24.0,NaN
J25 Dinosaurs 2,S,G,5,5,0,1.0,38.85338206838699,51.45681418127134,4.201144037628117,16.8,NaN
J22 Constellation 1,S,W,3,3,0,1.0,33.31132807758848,48.170632013458395,4.9531013119566385,17.0,NaN
J25 Enchanted 3,S,W,2,2,0,1.0,30.951237664234462,46.94526864081351,5.331343658859682,19.0,NaN
J22 Blink 4,S,W,3,3,0,1.0,34.32039388192881,49.07009320281769,4.916566440296292,24.0,NaN
J25 Clerics 1,S,B,1,1,0,1.0,22.760541627891765,41.929211101235786,6.389556491114674,17.0,NaN
J25 Clerics 3,S,B,4,4,0,1.0,44.016011515529144,56.52942128561615,4.171136590029004,27.75,NaN
J25 Clerics 2,S,B,3,3,0,1.0,38.61450132368998,52.11500380521273,4.500167493840917,15.666666666666666,NaN
J22 Go to School 1,S,U,3,3,0,1.0,37.53033831712574,50.87306396925344,4.447575217375899,22.0,NaN
JMP Angels 1,S,W,3,3,0,1.0,30.35952168733153,46.04666017141136,5.229046161359944,23.666666666666668,NaN
J25 Healers 4,S,W,4,4,0,1.0,43.84168378397185,56.440982893256844,4.199766369761663,18.75,NaN
J25 Healers 3,S,W,1,1,0,1.0,21.901157940909382,41.11499742660397,6.4046131618981965,15.0,NaN
J25 Healers 2,S,W,4,4,0,1.0,37.9401139076638,51.57807157693665,4.545985889757618,19.75,NaN
JMP Reanimated 3,S,B,1,1,0,1.0,19.782289661628994,39.964803622182146,6.727504653517718,20.0,NaN
J25 Soaring 3,S,U,11,10,1,0.9090909090909091,47.38268737896378,56.389554903023296,3.0022891746865055,19.8,17.0
JMP Tree Hugging 4,S,G,8,7,1,0.875,47.330237839440706,56.12514165772324,2.9316346060941787,20.714285714285715,14.0
J25 Giddyap,S,W,7,6,1,0.8571428571428571,39.41916533286676,48.12438134560171,2.9017386709116506,21.333333333333332,18.0
J22 Treasure 2,S,R,7,6,1,0.8571428571428571,43.246568511546116,52.033046163366706,2.928825883940197,18.5,40.0
JMP Pirates 2,S,U,7,6,1,0.8571428571428571,37.93198713139644,47.53661619479562,3.2015430211330616,16.333333333333332,18.0
J25 Vampires 3,S,B,6,5,1,0.8333333333333334,33.79505465963904,44.53115809273497,3.5787011443653087,17.4,23.0
J25 Elves 1,S,G,6,5,1,0.8333333333333334,27.65227140680651,36.88742346279773,3.0783840186637392,19.2,15.0
JMP Dragons 1,S,R,6,5,1,0.8333333333333334,33.78006252854752,44.361203119836844,3.52704686376311,14.2,27.0
JMP Discarding 2,S,B,6,5,1,0.8333333333333334,38.54776405266278,48.58234366311903,3.3448598701520855,18.6,30.0
JMP Liliana,S,B,6,5,1,0.8333333333333334,32.43601844705628,43.47678499187145,3.68025551493839,22.4,24.0
J22 Boneyard 2,S,B,6,5,1,0.8333333333333334,33.23173129377579,42.34301591517574,3.037094873799984,17.8,31.0
J22 Gross 1,S,B,6,5,1,0.8333333333333334,35.29649353576491,45.834313694088245,3.512606719441111,22.6,24.0
J25 Heroes 2,S,W,6,5,1,0.8333333333333334,35.43307361084931,45.68925959683792,3.4187286619962034,21.6,18.0
J25 Armed 1,S,W,6,5,1,0.8333333333333334,33.66098713317093,42.56040675921647,2.966473208681848,28.2,31.0
JMP Witchcraft 1,A,B,5,4,1,0.8,36.798357928335946,49.600122847423584,4.267254973029212,22.0,17.0
J25 Soaring 2,A,U,5,4,1,0.8,34.83558710262254,46.45093691405127,3.8717832704762434,18.75,16.0
JMP Devilish 3,A,R,5,4,1,0.8,34.171325916859715,43.5207047276958,3.1164596036120296,19.25,17.0
JMP Devilish 4,A,R,5,4,1,0.8,30.377971811146324,41.572794633668025,3.731607607507234,19.75,17.0
JMP Vampires 2,A,B,5,4,1,0.8,30.54079256683557,41.05919123763674,3.506132890267057,19.0,27.0
J22 Think Again 4,A,U,5,4,1,0.8,30.555930041893788,40.9143132093823,3.452794389162837,17.75,10.0
J25 Landfall 1,A,G,9,7,2,0.7777777777777778,40.224447491782485,48.105430174389916,2.62699422753581,16.571428571428573,17.0
J22 Faeries 1,A,U,4,3,1,0.75,36.609274618136965,47.3074928456941,3.5660727425190437,19.666666666666668,20.0
J22 Ferocious 3,A,G,8,6,2,0.75,38.62620956197596,48.16527467931352,3.179688372445853,19.0,15.5
J25 Grave Robbers 2,A,B,4,3,1,0.75,32.5984829842858,43.03984454793198,3.4804538545487245,19.666666666666668,23.0
J25 Bloody 3,A,R,4,3,1,0.75,32.006985229166844,44.03035318122115,4.007789317351437,16.333333333333332,18.0
JMP Devilish 1,A,R,4,3,1,0.75,27.840466388498832,38.49682088116376,3.552118164221641,18.666666666666668,18.0
JMP Dogs 2,A,W,8,6,2,0.75,34.70265727589525,43.70043847496546,2.99926039969007,18.5,19.5
J22 Law 3,A,W,4,3,1,0.75,26.05908015115091,37.37487177388343,3.7719305409108403,16.666666666666668,14.0
J25 Ghastly 1,A,B,8,6,2,0.75,34.67759823944668,42.82645387329005,2.7162852112811215,22.166666666666668,17.0
JMP Legion 1,A,W,4,3,1,0.75,30.347803752544692,42.49468502107616,4.048960422843822,18.333333333333332,16.0
J22 Insects 1,A,G,4,3,1,0.75,27.97485258516013,40.119696216777406,4.048281210539092,20.0,24.0
JMP Above the Clouds 2,A,U,4,3,1,0.75,34.62166034186914,44.46743863060433,3.281926096245064,18.333333333333332,15.0
J22 Blink 1,A,W,4,3,1,0.75,27.025955940172715,37.548106400368496,3.5073834867319276,26.333333333333332,29.0
J22 Shapeshifters,A,U,4,3,1,0.75,25.1565678286259,39.06153816834715,4.634990113240416,19.333333333333332,17.0
JMP Minotaurs 2,A,R,8,6,2,0.75,32.20679445590787,41.50883062101731,3.100678721703148,20.5,18.5
JMP Pirates 1,A,U,4,3,1,0.75,28.01714903960793,41.8543491842088,4.61240004820029,15.0,11.0
J25 Armed 2,A,W,8,6,2,0.75,30.724819757036133,39.66030775963007,2.9784960008646464,19.5,21.0
J22 Fangs 3,A,B,4,3,1,0.75,30.82425233700378,42.771710176720596,3.9824859465722717,17.333333333333332,17.0
J25 Soaring 4,A,U,7,5,2,0.7142857142857143,29.30939517405192,37.688830402823626,2.7931450762572347,16.4,13.5
J25 Fun Guys 2,A,G,7,5,2,0.7142857142857143,36.85630358374324,45.143645732895095,2.7624473830506178,20.4,13.0
J22 Holy 4,A,W,7,5,2,0.7142857142857143,39.971341901385095,47.65081557033238,2.5598245563157613,19.6,18.0
JMP Goblins 3,A,R,7,5,2,0.7142857142857143,33.716337414213314,44.22468608689377,3.502782890893484,17.2,15.5
J25 Armed 4,A,W,10,7,3,0.7,29.871636757679745,37.57883379929235,2.5690656805375345,22.285714285714285,17.666666666666668
J25 Stalwart 4,B,W,6,4,2,0.6666666666666666,29.95593503364639,40.89934887820815,3.6478046148539196,20.5,15.0
JMP Smashing 4,B,R,3,2,1,0.6666666666666666,19.953777470446074,32.10553716737808,4.050586565644003,15.0,12.0
J22 Primates,B,G,6,4,2,0.6666666666666666,32.95579754042555,41.92012138423841,2.9881079479376225,19.5,13.5
JMP Feathered Friends 1,B,W,3,2,1,0.6666666666666666,25.76053902024811,36.25518364050165,3.498214873417847,18.5,12.0
JMP Feathered Friends 3,B,W,3,2,1,0.6666666666666666,30.348781739974783,44.07056317921862,4.573927146414611,17.5,23.0
J25 Copied 2,B,R,3,2,1,0.6666666666666666,22.189210129900516,35.61322327924402,4.474671049781167,21.5,15.0
J25 Explorers 4,B,G,6,4,2,0.6666666666666666,33.23517783003884,42.32826023001968,3.0310274666602797,17.5,24.0
J25 Surprise 3,B,U,3,2,1,0.6666666666666666,28.58012488728947,39.31769560854571,3.5791902404187472,16.0,28.0
JMP Devilish 2,B,R,3,2,1,0.6666666666666666,33.748751860242244,43.53105540758776,3.260767849115172,20.5,16.0
