Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J22 Blink 4 & J25 Vampires 2,S,WB,1,1,0,1.0,34.55032418273305,43.24623125554845,2.8986356909384683,24.0,NaN
J25 Angels 1 & J25 Inventive 3,S,WU,1,1,0,1.0,31.555217136475367,41.4017734632696,3.282185442264744,15.0,NaN
J22 Morbid 2 & JMP Dogs 2,S,WB,1,1,0,1.0,31.555217136475367,41.4017734632696,3.282185442264744,27.0,NaN
J22 Holy 4 & J22 Multi-Headed 2,S,WG,1,1,0,1.0,31.555217136475367,41.4017734632696,3.282185442264744,15.0,NaN
J22 Fangs 4 & JMP Plus One 2,S,BG,1,1,0,1.0,30.31517108435812,40.33636777954885,3.340398898396911,20.0,NaN
J22 Elves 2 & JMP Dinosaurs 4,A,G,2,1,1,0.5,24.865301491411163,30.758974298282826,1.9645576022905544,34.0,24.0
J25 Explorers 4 & J25 Landfall 2,A,G,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,13.0,NaN
J22 Elves 4 & JMP Smashing 1,A,RG,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,13.0,NaN
J22 Gigantic 1 & J25 Enchanted 2,A,WG,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,22.0,NaN
J22 Go to School 1 & J25 Landfall 2,A,UG,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,17.0,NaN
J22 Treasure 2 & JMP Plus One 4,A,RG,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,13.0,NaN
J22 Gigantic 2 & J25 Copied 2,A,RG,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,14.0,NaN
J22 Cats 3 & JMP Above the Clouds 3,A,WU,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,17.0,NaN
J25 Goblins 1 & J25 Stalwart 1,A,WR,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,13.0,NaN
J25 Landfall 4 & J25 Stoked 1,A,RG,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,19.0,NaN
J22 Gross 1 & JMP Tree Hugging 4,A,BG,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,24.0,NaN
J25 Ghastly 3 & JMP Smashing 4,A,BR,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,17.0,NaN
J22 Inventive 1 & J25 Bloody 1,A,UR,1,1,0,1.0,23.25198812660507,36.49264695678069,4.413552943391872,20.0,NaN
