Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J22 Inventive 1 & J22 Spicy,S,UR,13,13,0,1.0,38.89498311692992,45.49677564263276,2.200597508567615,17.53846153846154,NaN
J22 Cruel 1 & J22 Fangs 3,S,B,21,20,1,0.9523809523809523,33.91763418423142,37.11170085026787,1.0646888886788193,17.95,25.0
J22 Fangs 3 & J22 Fangs 4,S,B,18,17,1,0.9444444444444444,33.26623626071331,36.45683120326713,1.0635316475179375,17.0,21.0
J22 Cats 3 & J22 Spirits 1,S,W,14,13,1,0.9285714285714286,33.20091363388859,36.29254569129631,1.0305440191359083,20.153846153846153,22.0
J22 Dragons 2 & J22 Wolves 2,A,RG,16,15,1,0.9375,31.840523692497587,35.05078840555082,1.0700882376844103,19.2,20.0
J22 Goblins 1 & J22 Goblins 4,A,R,29,27,2,0.9310344827586207,31.80353834406503,34.80300349690406,0.9998217176130108,16.666666666666668,16.5
J22 Holy 4 & J22 Raid 4,A,WR,15,14,1,0.9333333333333333,31.7592492643943,34.80214264664268,1.0142977940827929,18.214285714285715,21.0
J22 Holy 3 & J22 Law 4,A,W,16,15,1,0.9375,31.746552280644742,34.77973988150854,1.0110625336212655,21.8,17.0
J22 Blink 1 & J22 Holy 4,A,W,28,26,2,0.9285714285714286,31.517741844676333,34.512323904494,0.9981940199392209,19.884615384615383,29.5
J22 Constellation 1 & J22 Holy 2,A,W,27,25,2,0.9259259259259259,31.07765407914364,33.987106716142584,0.9698175456663144,16.92,23.0
J22 Fangs 3 & J22 Insects 2,A,BG,22,20,2,0.9090909090909091,30.878307545484116,33.74941883673932,0.9570370970850689,21.75,26.5
J22 Holy 2 & J22 Rats,A,WB,22,20,2,0.9090909090909091,30.727182798241405,33.54017767273083,0.9376649581631413,18.55,17.0
J22 Merfolk 2 & J22 Merfolk 3,A,U,19,17,2,0.8947368421052632,30.26607222919293,33.02685601754923,0.9202612627854333,15.117647058823529,19.5
J22 Inventive 3 & J22 Treasure 2,A,UR,12,11,1,0.9166666666666666,30.25637236692675,33.12204700624598,0.9552248797730759,22.181818181818183,22.0
J22 Ferocious 2 & J22 Merfolk 3,A,UG,17,15,2,0.8823529411764706,30.135193025071374,32.84542890900244,0.903411961310357,16.466666666666665,23.5
J22 Ferocious 2 & J22 Merfolk 4,A,UG,28,25,3,0.8928571428571429,30.13011991082906,32.88952222323886,0.9198007708032682,16.4,15.666666666666666
J22 Constellation 1 & J22 Fangs 2,A,WB,18,16,2,0.8888888888888888,30.059120568000125,32.76935533515667,0.9034115890521813,16.3125,22.5
J22 Fangs 4 & J22 Gross 4,A,B,17,15,2,0.8823529411764706,30.028798557027883,32.779812338532246,0.9170045938347874,20.2,17.5
J22 Holy 2 & J22 Spirits 2,A,W,21,18,3,0.8571428571428571,30.01488105227659,32.65286471038933,0.8793278860375802,18.77777777777778,23.0
J22 Ferocious 2 & J22 Inventive 2,A,UG,14,12,2,0.8571428571428571,30.008455345248066,32.643640232255784,0.8783949623359059,17.0,14.5
J22 Cruel 2 & J22 Zombies 4,A,B,23,20,3,0.8695652173913043,29.95862298794507,32.645033804546316,0.8954702722004152,16.8,16.666666666666668
J22 Boneyard 2 & J22 Zombies 4,A,B,23,20,3,0.8695652173913043,29.815237350891444,32.464124428114474,0.8829623590743436,17.6,20.333333333333332
J22 Holy 3 & J22 Wolves 2,A,WG,21,19,2,0.9047619047619048,29.758051299365025,32.58935236906515,0.9437670232333758,20.42105263157895,15.0
J22 Constellation 2 & J22 Holy 2,A,W,21,18,3,0.8571428571428571,29.736683391713107,32.42359969109573,0.8956387664608741,18.22222222222222,18.666666666666668
J22 Holy 4 & J22 Insects 1,A,WG,14,12,2,0.8571428571428571,29.725066904190008,32.427429596506286,0.9007875641054255,19.666666666666668,24.5
J22 Boneyard 2 & J22 Gigantic 2,A,BG,18,16,2,0.8888888888888888,29.70700764264829,32.38749483643721,0.8934957312629748,18.8125,22.0
