Pack,nCopies,Card,Mana Cost,Adj. Games Played,Adj. Wins,Adj. Losses,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Tier,Turns to Win,Turns to Lose
J25 Angels 1,1,"Giada, Font of Hope",{1}{W},1169,780,389,1169,780,389,0.6672369546621043,75.49370980902802,80.96905792360286,1.8251160381916163,B,18.65,20.426735218509
J25 Angels 1,1,"Serra Angel",{3}{W}{W},1004,712,292,1004,712,292,0.7091633466135459,95.46737238049313,100.84720037339645,1.7932759976344386,A,19.40449438202247,20.852739726027398
J25 Angels 1,1,"Pacifism",{1}{W},1146,699,447,1146,699,447,0.6099476439790575,53.5092345629233,59.12211188381964,1.8709591069654492,C,20.087267525035767,20.655480984340045
J25 Angels 1,1,"Light of Hope",{W},1187,682,505,1187,682,505,0.5745577085088458,41.11405423622546,46.52419045023984,1.8033787380047934,D,19.777126099706745,20.15247524752475
J25 Angels 1,1,"Youthful Valkyrie",{1}{W},1065,680,385,1065,680,385,0.6384976525821596,73.1923174294952,78.70015631763799,1.8359462960475972,B,19.461764705882352,21.057142857142857
J25 Angels 1,1,"Inspiring Overseer",{2}{W},975,664,311,975,664,311,0.681025641025641,58.72969149772773,64.30183356221517,1.8573806881624797,C,19.521084337349397,20.578778135048232
J25 Angels 1,1,"Celestial Enforcer",{2}{W},1003,619,384,1003,619,384,0.617148554336989,62.24934966214971,67.71733103442132,1.8226604574238705,C,20.121163166397416,20.815104166666668
J25 Angels 1,1,"Secluded Steppe",no cost,1082,619,463,1082,619,463,0.5720887245841035,20.707215616713547,26.148460352294816,1.8137482451937568,E,19.486268174474958,19.85745140388769
J25 Angels 1,1,"Faithful Pikemaster",{3}{W},1000,604,396,1000,604,396,0.604,55.59956110954254,61.030443343813104,1.8102940780901873,C,20.003311258278146,20.507575757575758
J25 Angels 1,1,"Herald of the Sun",{4}{W}{W},897,585,312,897,585,312,0.6521739130434783,98.84832205582973,104.23849359149756,1.7967238452226133,A,20.38290598290598,21.403846153846153
J25 Angels 1,1,"Destroy Evil",{1}{W},738,513,225,738,513,225,0.6951219512195121,77.20864460731043,82.92858530908926,1.9066469005929396,B,20.608187134502923,22.2
J25 Angels 1,1,"Starnheim Memento",{3},912,472,440,912,472,440,0.5175438596491229,25.754226507432023,31.310480643130788,1.8520847118995885,D,20.597457627118644,20.711363636363636
J25 Angels 2,1,"Giada, Font of Hope",{1}{W},1113,747,366,1113,747,366,0.6711590296495957,77.5382884169602,83.12979471821915,1.8638354337529814,B,17.839357429718877,20.25136612021858
J25 Angels 2,1,"Pacifism",{1}{W},1075,663,412,1075,663,412,0.6167441860465116,60.19432581455058,65.83905668011371,1.8815769551877106,C,19.232277526395173,20.32281553398058
J25 Angels 2,1,"Youthful Valkyrie",{1}{W},1038,631,407,1038,631,407,0.6078998073217726,68.63713574487046,74.15185920357919,1.8382411529029103,B,18.729001584786054,20.181818181818183
J25 Angels 2,1,"Stalwart Valkyrie",{3}{W},1060,622,438,1060,622,438,0.5867924528301887,63.63097209655952,68.98816663872886,1.7857315140564465,C,18.842443729903536,20.207762557077626
