Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
JMP Dinosaurs 2 & JMP Dinosaurs 4,S,G,13,13,0,1.0,39.73274633221325,45.26555560539736,1.8442697577280351,15.846153846153847,NaN
JMP Vampires 3 & JMP Vampires 4,S,B,23,21,2,0.9130434782608695,34.346936869637915,37.3019826512506,0.9850152605375617,19.0,34.5
JMP Cats 2 & JMP Garruk,S,G,21,19,2,0.9047619047619048,33.14232848123392,35.955834307285194,0.9378352753504255,18.0,16.0
JMP Doctor 2 & JMP Enchanted 1,A,W,19,17,2,0.8947368421052632,32.88659711111994,35.64930585741437,0.9209029154314755,19.352941176470587,22.0
JMP Discarding 1 & JMP Legion 3,A,WB,28,25,3,0.8928571428571429,32.875655038225794,35.618514440804056,0.9142864675260861,20.56,24.666666666666668
JMP Dinosaurs 4 & JMP Tree Hugging 2,A,G,21,19,2,0.9047619047619048,32.84296262051245,35.71784407975466,0.9582938197474048,17.789473684210527,19.5
JMP Elves 2 & JMP Goblins 3,A,RG,17,15,2,0.8823529411764706,32.70153787975105,35.441917287753135,0.9134598026673605,16.533333333333335,17.0
JMP Legion 2 & JMP Liliana,A,WB,19,17,2,0.8947368421052632,32.56124271977268,35.38032986065917,0.9396957136288301,18.764705882352942,19.0
JMP Angels 2 & JMP Doctor 2,A,W,23,20,3,0.8695652173913043,32.43042952636135,35.14945173851534,0.9063407373846637,18.0,19.333333333333332
JMP Discarding 2 & JMP Vampires 4,A,B,16,14,2,0.875,32.38713453623749,35.05557708386758,0.88948084921003,19.428571428571427,21.5
JMP Above the Clouds 1 & JMP Feathered Friends 1,A,WU,16,14,2,0.875,32.22328692415464,34.901699222888794,0.892804099578051,17.571428571428573,18.5
JMP Dragons 2 & JMP Garruk,A,RG,27,24,3,0.8888888888888888,32.15987748227158,34.88866677817674,0.9095964319683875,17.583333333333332,16.666666666666668
JMP Spirits 1 & JMP Vampires 3,A,UB,22,19,3,0.8636363636363636,32.154576537142916,34.773574815272795,0.8729994260432944,18.736842105263158,20.666666666666668
JMP Discarding 2 & JMP Goblins 4,A,BR,16,14,2,0.875,32.151918530906535,34.842107752349854,0.8967297404811069,17.142857142857142,14.0
JMP Basri & JMP Smashing 2,A,WR,23,20,3,0.8695652173913043,32.12598990922552,34.80457663487513,0.8928622418832057,18.0,20.333333333333332
JMP Devilish 2 & JMP Goblins 3,A,R,20,17,3,0.85,32.01040052664292,34.65156792117252,0.880389131509867,15.529411764705882,22.666666666666668
JMP Heavily Armored 3 & JMP Vampires 4,A,WB,15,13,2,0.8666666666666667,31.89884046174835,34.53165115037973,0.8776035628771272,19.23076923076923,25.0
JMP Discarding 1 & JMP Elves 1,A,BG,18,16,2,0.8888888888888888,31.87284208000637,34.60330139971317,0.9101531065689322,18.875,14.5
JMP Angels 2 & JMP Basri,A,W,15,13,2,0.8666666666666667,31.872440244915623,34.605011395757586,0.9108570502806538,20.153846153846153,23.0
JMP Phyrexian & JMP Vampires 1,A,B,21,18,3,0.8571428571428571,31.808471028802273,34.40827407181389,0.8666010143372056,21.666666666666668,21.666666666666668
JMP Basri & JMP Spooky 3,A,WB,16,13,3,0.8125,31.76210308087632,34.338221179582646,0.8587060329021092,21.153846153846153,15.0
JMP Smashing 1 & JMP Vampires 3,A,BR,29,25,4,0.8620689655172413,31.743082239445023,34.43085936195582,0.8959257075035981,19.64,16.75
JMP Doctor 3 & JMP Heavily Armored 3,A,W,18,15,3,0.8333333333333334,31.725841177936935,34.34101862464903,0.8717258155706984,20.4,19.666666666666668
JMP Spirits 1 & JMP Wizards 4,A,U,15,13,2,0.8666666666666667,31.724828721636314,34.348774477731276,0.8746485853649876,19.46153846153846,21.5
JMP Plus One 1 & JMP Vampires 4,A,BG,18,15,3,0.8333333333333334,31.692682305685125,34.25285798213545,0.8533918921501087,20.733333333333334,27.0
JMP Cats 1 & JMP Dragons 1,A,RG,22,19,3,0.8636363636363636,31.649371872377856,34.3162244578113,0.8889508618111486,18.263157894736842,19.0
JMP Doctor 4 & JMP Enchanted 2,A,W,20,17,3,0.85,31.459831792039978,34.155522671922355,0.8985636266274596,22.176470588235293,24.0
JMP Cats 2 & JMP Discarding 1,A,BG,17,14,3,0.8235294117647058,31.45673078137662,34.025510712543856,0.8562599770557454,20.285714285714285,23.666666666666668
JMP Elves 1 & JMP Elves 2,A,G,25,21,4,0.84,31.354313282785977,33.949490907552224,0.8650592082554159,13.80952380952381,16.0
JMP Feathered Friends 2 & JMP Tree Hugging 1,A,WG,25,21,4,0.84,31.32868066339288,33.935747308280355,0.8690222149624917,21.571428571428573,18.0
JMP Elves 2 & JMP Unicorns,A,WG,17,13,4,0.7647058823529411,31.27471354645538,33.79335029094829,0.8395455814976368,19.153846153846153,33.0
JMP Above the Clouds 4 & JMP Vampires 4,A,UB,26,22,4,0.8461538461538461,31.2562321798469,33.86835461303484,0.8707074777293125,18.40909090909091,20.5
JMP Predatory 1 & JMP Witchcraft 1,A,BG,18,15,3,0.8333333333333334,31.207509400150517,33.88404607831573,0.892178892721737,24.2,18.0
JMP Garruk & JMP Tree Hugging 2,A,G,17,14,3,0.8235294117647058,31.172961658310424,33.76665838241909,0.8645655747028878,18.714285714285715,22.0
