Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J22 Holy 2,S,W,3683,2400,1283,0.65164268259571,8.44409305844717,11.31922378337455,0.9583769083091267,19.1,19.24941543257989
J22 Constellation 1,S,W,3717,2331,1386,0.6271186440677966,7.8835686530470355,10.740006687938727,0.9521460116305639,18.33933933933934,19.943722943722943
J22 Fangs 1,S,B,3780,2509,1271,0.6637566137566138,7.795171488866306,10.673385756508932,0.959404755880875,18.943403746512555,18.340676632572777
J22 Holy 3,S,W,3724,2228,1496,0.59828141783029,7.65461835601948,10.498702242489507,0.948027962156676,19.947037701974864,19.90909090909091
J22 Fangs 4,S,B,3740,2433,1307,0.6505347593582887,7.4749182573052,10.337007756962926,0.9540298332192421,19.051376900945336,18.801071155317523
J22 Merfolk 2,S,U,3650,2327,1323,0.6375342465753424,7.276454147202735,10.14295917697758,0.9555016765916154,17.6850021486893,19.003779289493576
J22 Holy 4,S,W,3746,2252,1494,0.601174586225307,7.057563293418918,9.904558179459862,0.9489982953469814,20.96936056838366,20.985274431057565
J22 Fangs 2,A,B,3656,2331,1325,0.637582056892779,6.995911312512288,9.857843751788987,0.9539774797589,19.03775203775204,18.62566037735849
J22 Fangs 3,A,B,3680,2261,1419,0.6144021739130435,6.927865176896896,9.777983873950532,0.9500395656845453,19.215833701901815,19.656095842142353
J22 Blink 1,A,W,3670,2106,1564,0.5738419618528611,6.644409679813594,9.495498509699797,0.9503629432954008,21.82383665716999,20.932864450127877
J22 Inventive 1,A,U,3673,2218,1455,0.6038660495507759,6.569148356950301,9.417494752802483,0.9494487986173941,18.88232642019838,19.4020618556701
J22 Spirits 1,A,W,3828,2180,1648,0.5694879832810867,6.2094096314926865,9.049151845372375,0.9465807379598962,20.20366972477064,20.796723300970875
J22 Gigantic 2,A,G,3723,2077,1646,0.5578834273435401,6.135953441707448,8.987359273584048,0.9504686106255331,19.79489648531536,19.259416767922236
J22 Cats 1,A,W,3696,2096,1600,0.5670995670995671,6.048862759269202,8.893207130929579,0.9481147905534589,19.307729007633586,20.364375
J22 Boneyard 2,A,B,3563,2015,1548,0.5655346618018524,6.020029636356098,8.853015720382562,0.9443286946754881,19.49727047146402,19.84108527131783
J22 Demons 1,A,B,3753,2127,1626,0.5667466027178257,5.790734581474069,8.626130219483429,0.945131879336453,19.310296191819464,19.653136531365313
J22 Inventive 3,A,U,3674,2216,1458,0.603157321720196,5.761997277569839,8.604127426316087,0.9473767162487491,19.49187725631769,18.727023319615913
J22 Cats 4,A,W,3783,2170,1613,0.5736188210415014,5.7290232293765,8.554288711780679,0.9417551608013929,18.86267281105991,20.182269063856168
J22 Merfolk 1,B,U,3672,2083,1589,0.5672657952069716,5.617284231738216,8.455760529252547,0.9461587658381103,17.483917426788285,18.41283826305853
J22 Merfolk 4,B,U,3733,2240,1493,0.6000535762121618,5.461464948333043,8.28729575262205,0.9419436014296693,17.444642857142856,18.411252511721365
J22 Rats,B,B,3685,2066,1619,0.560651289009498,5.440375947641748,8.274152480075298,0.9445921774778502,19.89545014520813,19.64298949969117
J22 Dragons 2,B,R,3735,2052,1683,0.5493975903614458,5.440322472004524,8.265186157737013,0.9416212285774963,18.50438596491228,19.035650623885918
J22 Zombies 4,B,B,3549,2109,1440,0.5942519019442096,5.350156972792615,8.1814299260658,0.9437576510910616,19.266951161688002,19.25486111111111
J22 Goblins 1,B,R,3599,1924,1675,0.5345929424840233,5.313062751528896,8.137727696598173,0.9415549816897588,18.727650727650726,18.623283582089552
J22 Multi-Headed 2,B,G,3741,1983,1758,0.5300721732157178,5.286668983944157,8.122456306912298,0.9452624409893802,17.99193141704488,18.25881683731513
J22 Dragons 1,B,R,3564,1948,1616,0.5465768799102132,5.21826525443152,8.03794057996669,0.9398917751783902,18.38501026694045,18.894801980198018
J22 Constellation 2,B,W,3606,2009,1597,0.5571270105379922,5.178121920579268,8.009741767375207,0.9438732822653131,18.68790443006471,18.979962429555417
