Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
J22 Constellation 1 & J22 Constellation 2,S,W,21,20,1,0.9523809523809523,23.26447137328562,26.65105689689821,1.1288618412041973,16.55,21.0
J22 Fangs 1 & J22 Fangs 4,S,B,24,22,2,0.9166666666666666,22.47572612982679,25.32069057343515,0.9483214812027866,16.40909090909091,19.5
J22 Blink 1 & J22 Holy 2,S,W,27,25,2,0.9259259259259259,21.732621284860972,24.713749195091786,0.9937093034102717,20.92,15.0
J22 Demons 1 & J22 Dragons 1,S,BR,29,26,3,0.896551724137931,21.67933881115723,24.50667398491948,0.9424450579207496,18.46153846153846,18.0
J22 Fangs 1 & J22 Ferocious 2,S,BG,28,25,3,0.8928571428571429,21.4970618764302,24.275803614106103,0.9262472458919666,18.28,20.666666666666668
J22 Fangs 2 & J22 Merfolk 2,S,UB,25,22,3,0.88,21.247768554784198,24.0743394348984,0.9421902933714006,17.181818181818183,25.333333333333332
J22 Cats 1 & J22 Cats 4,S,W,19,17,2,0.8947368421052632,21.037765327375617,23.826741910330753,0.929658860985046,16.0,31.5
J22 Fangs 3 & J22 Fangs 4,S,B,38,33,5,0.868421052631579,20.98965409867356,23.69288985994492,0.9010785870904533,17.363636363636363,19.6
J22 Holy 2 & J22 Holy 4,S,W,27,24,3,0.8888888888888888,20.890173611724,23.651408662118968,0.9204116834649894,18.291666666666668,20.666666666666668
J22 Fangs 1 & J22 Treasure 2,S,BR,22,19,3,0.8636363636363636,20.794620493213902,23.549432653039005,0.9182707199417015,19.789473684210527,20.333333333333332
J22 Fangs 1 & J22 Goblins 1,S,BR,33,29,4,0.8787878787878788,20.665463488377803,23.43841773512228,0.9243180822481588,19.103448275862068,21.25
J22 Demons 2 & J22 Fangs 1,S,B,29,25,4,0.8620689655172413,20.553359774579523,23.194098449970596,0.8802462251303576,17.28,15.75
J22 Fangs 1 & J22 Gross 3,S,B,34,28,6,0.8235294117647058,20.477880180045425,23.072628040401263,0.8649159534519455,20.464285714285715,19.0
J22 Gigantic 2 & J22 Holy 2,S,WG,27,23,4,0.8518518518518519,20.45915120898532,23.14496829002502,0.8952723603465675,18.82608695652174,18.75
J22 Constellation 2 & J22 Fangs 4,S,WB,27,23,4,0.8518518518518519,20.291047400930495,22.990010329158252,0.8996543094092522,19.217391304347824,18.0
J22 Gross 1 & J22 Spirits 1,S,WB,29,25,4,0.8620689655172413,20.267401657530968,22.951347013579742,0.894648452016258,19.96,15.75
J22 Cats 4 & J22 Holy 2,S,W,28,24,4,0.8571428571428571,20.17148449427254,22.89784981210466,0.9087884392773724,19.083333333333332,18.5
J22 Inventive 1 & J22 Knights,S,WU,24,20,4,0.8333333333333334,20.02189603966641,22.66006499701033,0.8793896524479736,20.2,18.25
J22 Demons 1 & J22 Fangs 1,S,B,40,33,7,0.825,19.989257652390183,22.584752042309447,0.8651647966397541,19.78787878787879,24.714285714285715
J22 Blink 2 & J22 Constellation 1,S,W,30,25,5,0.8333333333333334,19.970094165043793,22.56051446820029,0.863473434385499,19.68,21.6
J22 Holy 4 & J22 Knights,S,W,23,19,4,0.8260869565217391,19.945387651862923,22.574469540538914,0.876360629558664,20.210526315789473,20.75
J22 Boneyard 2 & J22 Fangs 1,S,B,30,25,5,0.8333333333333334,19.93637691873292,22.50706024938127,0.8568944435494503,17.72,15.8
J22 Fangs 1 & J22 Morbid 1,S,B,39,33,6,0.8461538461538461,19.93569910860099,22.559445092589982,0.8745819946629975,19.848484848484848,18.833333333333332
J22 Holy 4 & J22 Merfolk 4,S,WU,15,13,2,0.8666666666666667,19.890702264698753,22.789651270221327,0.966316335174192,21.846153846153847,20.0
J22 Merfolk 4 & J22 Spicy,S,UR,27,23,4,0.8518518518518519,19.873759322841703,22.544955059388883,0.8903985788490596,15.565217391304348,13.75
J22 Gigantic 2 & J22 Wolves 2,S,G,33,27,6,0.8181818181818182,19.786018216331613,22.367408647591574,0.860463477086654,18.555555555555557,18.5
J22 Holy 2 & J22 Zombies 2,S,WB,25,21,4,0.84,19.74313680219916,22.351033333988923,0.8692988439299205,18.61904761904762,17.0
J22 Blink 4 & J22 Fangs 1,S,WB,31,25,6,0.8064516129032258,19.637321709456526,22.184828327791465,0.849168872778313,19.28,19.333333333333332
J22 Inventive 2 & J22 Rats,S,UB,39,31,8,0.7948717948717948,19.561888885778025,22.127498762476833,0.8552032922329366,19.225806451612904,16.75
J22 Demons 2 & J22 Fangs 2,S,B,30,25,5,0.8333333333333334,19.553796132220157,22.153279679167888,0.866494515649243,17.44,19.8
J22 Constellation 1 & J22 Zombies 2,S,WB,30,25,5,0.8333333333333334,19.542246340621094,22.153747914233733,0.8705005245375458,19.4,16.8
J22 Blink 4 & J22 Constellation 1,S,W,29,24,5,0.8275862068965517,19.525574067064152,22.13935125236867,0.871259061768172,19.041666666666668,17.4
J22 Fangs 4 & J22 Wolves 4,S,BG,34,28,6,0.8235294117647058,19.514592005869375,22.059138604622042,0.8481821995842227,19.357142857142858,17.5
J22 Cats 1 & J22 Constellation 1,S,W,28,23,5,0.8214285714285714,19.484894159163346,22.0529330723215,0.8560129710527187,15.826086956521738,20.2
J22 Holy 4 & J22 Merfolk 1,S,WU,29,24,5,0.8275862068965517,19.476293367790923,22.092505287248628,0.872070639819235,18.25,20.4
J22 Inventive 1 & J22 Merfolk 4,S,U,27,22,5,0.8148148148148148,19.45447024460107,22.019513137270437,0.8550142975564562,16.40909090909091,18.2
J22 Go to School 1 & J22 Zombies 4,S,UB,31,26,5,0.8387096774193549,19.3986464306916,22.047269615628927,0.8828743949791099,19.46153846153846,22.6
J22 Fangs 2 & J22 Fangs 3,S,B,33,27,6,0.8181818181818182,19.39591884988829,21.932315699625917,0.8454656165792094,17.77777777777778,17.0
J22 Inventive 2 & J22 Merfolk 2,A,U,29,24,5,0.8275862068965517,19.374693733443692,21.994211234301353,0.8731725002858874,18.125,28.0
J22 Fangs 4 & J22 Gross 1,A,B,34,28,6,0.8235294117647058,19.368750176681594,21.90467703540054,0.8453089529063155,18.607142857142858,20.0
J22 Fangs 2 & J22 Zombies 3,A,B,26,20,6,0.7692307692307693,19.35110424099086,21.883004170726558,0.8439666432452323,18.35,17.333333333333332
J22 Cats 1 & J22 Holy 4,A,W,31,25,6,0.8064516129032258,19.317425677850846,21.856648465188172,0.8464075957791087,20.04,23.0
J22 Holy 2 & J22 Rats,A,WB,22,18,4,0.8181818181818182,19.307433163310563,21.861460283900826,0.8513423735300872,19.5,17.0
J22 Holy 2 & J22 Think Again 4,A,WU,28,22,6,0.7857142857142857,19.268987366257484,21.784740378173282,0.8385843373052658,21.136363636363637,18.166666666666668
J22 Holy 4 & J22 Rats,A,WB,25,20,5,0.8,19.25696281397976,21.7994506855767,0.8474959571989795,22.25,19.6
J22 Holy 2 & J22 Holy 3,A,W,33,27,6,0.8181818181818182,19.249338861055715,21.825615117280954,0.8587587520750796,17.22222222222222,17.5
J22 Dragons 1 & J22 Merfolk 2,A,UR,35,28,7,0.8,19.218674811768786,21.773491683194393,0.8516056238085363,17.357142857142858,17.428571428571427
J22 Inventive 3 & J22 Merfolk 3,A,U,29,24,5,0.8275862068965517,19.19996958435746,21.798394020219206,0.8661414786205813,17.625,19.4
J22 Goblins 2 & J22 Knights,A,WR,31,24,7,0.7741935483870968,19.183375887595822,21.71430884952518,0.8436443206431194,17.958333333333332,17.0
J22 Fangs 3 & J22 Zombies 2,A,B,28,23,5,0.8214285714285714,19.171343293235463,21.758966996309226,0.8625412343579216,18.695652173913043,20.0
J22 Holy 3 & J22 Morbid 2,A,WB,16,13,3,0.8125,19.157342628891822,21.827201689104136,0.889953020070771,20.615384615384617,19.333333333333332
J22 Fangs 4 & J22 Zombies 4,A,B,30,24,6,0.8,19.120635030740853,21.67456675167106,0.8513105736434012,19.25,13.833333333333334
J22 Gross 1 & J22 Holy 4,A,WB,23,19,4,0.8260869565217391,19.10793040107718,21.729690169734262,0.8739199228856943,19.263157894736842,17.5
J22 Demons 1 & J22 Fangs 3,A,B,37,30,7,0.8108108108108109,19.090270547505224,21.680640870963366,0.863456774486047,19.0,22.142857142857142
J22 Fangs 3 & J22 Gigantic 2,A,BG,28,21,7,0.75,19.089206023165772,21.579250350101518,0.8300147756452486,18.761904761904763,19.428571428571427
J22 Fangs 2 & J22 Gross 1,A,B,37,29,8,0.7837837837837838,19.071345609578376,21.588266712086465,0.8389737008360293,20.275862068965516,17.625
J22 Fangs 1 & J22 Merfolk 2,A,UB,27,21,6,0.7777777777777778,19.06000021850286,21.58648586881216,0.8421618834364333,17.476190476190474,16.666666666666668
J22 Ferocious 4 & J22 Gross 3,A,BG,24,19,5,0.7916666666666666,19.036820592379055,21.58217183858597,0.8484504154023055,18.789473684210527,17.6
J22 Constellation 1 & J22 Ferocious 2,A,WG,35,27,8,0.7714285714285715,19.0317689317008,21.549733409421954,0.8393214925737177,17.814814814814813,19.0
J22 Gigantic 2 & J22 Inventive 1,A,UG,29,24,5,0.8275862068965517,19.028315541670544,21.611816521658426,0.8611669933292944,18.583333333333332,23.8
J22 Morbid 1 & J22 Morbid 2,A,B,24,19,5,0.7916666666666666,19.021838919683958,21.549001283679914,0.842387454665319,20.36842105263158,18.0
J22 Holy 2 & J22 Vehicles,A,W,29,24,5,0.8275862068965517,18.996514018597765,21.577677834223103,0.8603879385417792,18.625,18.4
J22 Blink 1 & J22 Urza's,A,WC,26,20,6,0.7692307692307693,18.99063393325566,21.52460254175751,0.8446562028339505,22.7,22.166666666666668
J22 Fangs 2 & J22 Zombies 2,A,B,34,27,7,0.7941176470588235,18.961278454795295,21.53825731754676,0.8589929542504877,21.555555555555557,17.857142857142858
J22 Fangs 4 & J22 Merfolk 1,A,UB,31,25,6,0.8064516129032258,18.95818879198245,21.524031123187534,0.8552807770683608,17.44,17.666666666666668
J22 Constellation 1 & J22 Inventive 1,A,WU,26,21,5,0.8076923076923077,18.95743901972781,21.48421351771111,0.8422581659944335,18.095238095238095,17.2
J22 Merfolk 3 & J22 Merfolk 4,A,U,39,30,9,0.7692307692307693,18.95233341332882,21.459165497923735,0.8356106948649722,15.266666666666667,15.333333333333334
J22 Gross 1 & J22 Zombies 4,A,B,33,27,6,0.8181818181818182,18.940382930409196,21.47836505236654,0.8459940406524482,18.074074074074073,18.0
J22 Boneyard 1 & J22 Rats,A,B,29,23,6,0.7931034482758621,18.913863772745533,21.438378504028492,0.841504910427653,20.0,17.833333333333332
J22 Ferocious 2 & J22 Inventive 1,A,UG,20,16,4,0.8,18.898923842031927,21.502258154689315,0.8677781042191295,17.4375,14.5
J22 Fangs 3 & J22 Spirits 1,A,WB,34,27,7,0.7941176470588235,18.885404654674407,21.42416597788411,0.8462537744032336,19.51851851851852,19.714285714285715
J22 Fangs 2 & J22 Holy 4,A,WB,35,28,7,0.8,18.86948770034448,21.412083333329733,0.8475318776617516,19.75,20.571428571428573
J22 Gross 1 & J22 Spirits 2,A,WB,34,26,8,0.7647058823529411,18.843430685259538,21.335731157538596,0.8307668240930197,22.846153846153847,20.0
J22 Inventive 1 & J22 Inventive 2,A,U,36,29,7,0.8055555555555556,18.82147317386481,21.380306072162107,0.8529442994324322,17.896551724137932,21.571428571428573
J22 Cats 4 & J22 Merfolk 2,A,WU,28,22,6,0.7857142857142857,18.804115895660352,21.350243699488104,0.8487092679425842,17.136363636363637,17.666666666666668
J22 Cats 3 & J22 Constellation 1,A,W,27,22,5,0.8148148148148148,18.778350393015444,21.355604488499026,0.8590846984945276,17.954545454545453,19.0
J22 Merfolk 2 & J22 Merfolk 4,A,U,29,23,6,0.7931034482758621,18.778037286981007,21.275668642379898,0.8325437851329639,15.304347826086957,16.5
J22 Merfolk 2 & J22 Scrying 2,A,U,32,25,7,0.78125,18.776734003439955,21.292559586628478,0.8386085277295077,17.4,19.0
J22 Blink 1 & J22 Holy 3,A,W,33,25,8,0.7575757575757576,18.770805709175185,21.25583560508977,0.8283432986381951,22.04,22.5
J22 Blink 1 & J22 Fangs 4,A,WB,29,22,7,0.7586206896551724,18.729723491452074,21.225196995814045,0.8318245014539907,20.545454545454547,18.428571428571427
J22 Constellation 1 & J22 Treasure 1,A,WR,28,22,6,0.7857142857142857,18.714828768425605,21.21898895691902,0.834720062831138,18.09090909090909,19.0
J22 Fangs 4 & J22 Insects 3,A,BG,33,26,7,0.7878787878787878,18.70448580172543,21.213507743626657,0.8363406473004092,17.846153846153847,18.428571428571427
J22 Fangs 1 & J22 Inventive 3,A,UB,28,22,6,0.7857142857142857,18.70093279742507,21.19346458610017,0.8308439295583665,17.272727272727273,19.166666666666668
J22 Ferocious 2 & J22 Inventive 3,A,UG,36,29,7,0.8055555555555556,18.70080905703171,21.276167366629345,0.858452769865879,17.93103448275862,15.142857142857142
J22 Constellation 1 & J22 Fiery 1,A,WR,29,23,6,0.7931034482758621,18.699133319477042,21.204152663806624,0.8350064481098608,18.52173913043478,20.333333333333332
J22 Constellation 1 & J22 Wolves 4,A,WG,36,27,9,0.75,18.670707845596446,21.137572892774116,0.822288349059224,18.962962962962962,19.77777777777778
J22 Ferocious 1 & J22 Ferocious 4,A,G,26,21,5,0.8076923076923077,18.663118376138087,21.22348522972834,0.8534556178634183,17.857142857142858,15.4
J22 Blink 4 & J22 Experimental 1,A,WR,32,25,7,0.78125,18.6446758963195,21.178484444411943,0.844602849364147,21.52,18.571428571428573
J22 Blink 1 & J22 Merfolk 1,A,WU,29,23,6,0.7931034482758621,18.643782308478087,21.213486083987156,0.856567925169689,19.91304347826087,17.833333333333332
J22 Fangs 3 & J22 Fiery 1,A,BR,31,23,8,0.7419354838709677,18.637765257543705,21.101802578607767,0.821345773688021,18.73913043478261,18.75
J22 Gross 2 & J22 Insects 3,A,BG,32,26,6,0.8125,18.615746995220007,21.14875523290572,0.8443360792285712,20.423076923076923,18.333333333333332
J22 Dragons 2 & J22 Elves 2,A,RG,32,25,7,0.78125,18.60514722186648,21.123388452948618,0.839413743694046,19.0,21.714285714285715
J22 Merfolk 1 & J22 Merfolk 2,A,U,29,23,6,0.7931034482758621,18.604750148653153,21.144209546027966,0.8464864657916047,14.652173913043478,21.166666666666668
J22 Experimental 2 & J22 Holy 2,A,WR,22,17,5,0.7727272727272727,18.585392479920724,21.13116927698585,0.8485922656883756,20.88235294117647,20.6
J22 Blink 1 & J22 Spirits 2,A,W,30,23,7,0.7666666666666667,18.582999512456972,21.081623143716897,0.8328745437533084,25.82608695652174,20.428571428571427
J22 Fangs 1 & J22 Fangs 3,A,B,31,23,8,0.7419354838709677,18.57720827216848,21.083083158379814,0.8352916287371112,18.217391304347824,17.5
J22 Inventive 3 & J22 Scrying 2,A,U,37,29,8,0.7837837837837838,18.57528464034703,21.101447321518684,0.8420542270572188,21.620689655172413,15.875
J22 Blink 3 & J22 Raid 1,A,WR,39,31,8,0.7948717948717948,18.57523716726751,21.10892857178048,0.8445638015043238,20.225806451612904,20.625
J22 Ferocious 2 & J22 Merfolk 2,A,UG,32,24,8,0.75,18.564090172844388,21.046281243357527,0.8273970235043789,16.083333333333332,18.0
J22 Holy 2 & J22 Zombies 3,A,WB,31,24,7,0.7741935483870968,18.563745061655204,21.067129770807412,0.8344615697174026,21.875,17.142857142857142
J22 Cruel 1 & J22 Zombies 4,A,B,21,16,5,0.7619047619047619,18.551443830423402,21.099829603657824,0.8494619244114741,18.75,20.2
J22 Fangs 1 & J22 Insects 2,A,BG,34,26,8,0.7647058823529411,18.54056281977493,21.03915610456845,0.8328644282645062,19.23076923076923,18.375
J22 Holy 2 & J22 Law 2,A,W,25,18,7,0.72,18.532686138517345,20.95510772245806,0.8074738613135714,18.666666666666668,21.142857142857142
J22 Elves 4 & J22 Holy 2,A,WG,34,26,8,0.7647058823529411,18.521720653009428,20.997062414517913,0.8251139205028284,18.96153846153846,15.75
J22 Demons 2 & J22 Ferocious 4,A,BG,28,21,7,0.75,18.520629654878434,21.027242330961855,0.8355375586944732,16.428571428571427,16.142857142857142
J22 Blink 3 & J22 Holy 2,A,W,32,26,6,0.8125,18.51884225645441,21.069944370411655,0.8503673713190816,17.5,19.833333333333332
J22 Blink 4 & J22 Merfolk 2,A,WU,39,31,8,0.7948717948717948,18.51142478891278,21.059466919288944,0.8493473767920543,18.903225806451612,20.625
J22 Blink 2 & J22 Holy 4,A,W,34,26,8,0.7647058823529411,18.51051605762411,20.98815787047684,0.8258806042842436,22.384615384615383,19.375
J22 Ferocious 3 & J22 Morbid 1,A,BG,26,19,7,0.7307692307692307,18.503799546633495,20.97952984214752,0.8252434318380081,18.36842105263158,20.0
J22 Demons 1 & J22 Zombies 4,A,B,24,18,6,0.75,18.500851931358973,21.025946301807068,0.8416981234826979,18.944444444444443,19.333333333333332
J22 Constellation 1 & J22 Knights,A,W,34,26,8,0.7647058823529411,18.483414815735976,20.982081298316892,0.8328888275269717,19.46153846153846,17.125
J22 Fangs 2 & J22 Spirits 2,A,WB,30,23,7,0.7666666666666667,18.481967909910907,20.989363381679013,0.8357984905893682,20.91304347826087,18.857142857142858
J22 Fangs 4 & J22 Holy 4,A,WB,29,23,6,0.7931034482758621,18.455838625948058,20.98168441576363,0.8419485966051914,21.652173913043477,17.166666666666668
J22 Dragons 1 & J22 Treasure 2,A,R,31,24,7,0.7741935483870968,18.440597349619367,20.932879106231944,0.8307605855375252,16.291666666666668,22.285714285714285
J22 Merfolk 2 & J22 Think Again 2,A,U,32,25,7,0.78125,18.422353677323123,20.897296511951495,0.8249809448761237,16.76,18.857142857142858
J22 Boneyard 2 & J22 Fangs 2,A,B,25,19,6,0.76,18.411036537927778,20.905304858463985,0.8314227735120695,17.94736842105263,15.833333333333334
