Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
JMP Discarding 2 & JMP Rogues 1,S,B,27,27,0,1.0,26.894788580216144,33.09407777958304,2.066429733122298,18.703703703703702,NaN
JMP Wizards 1 & JMP Wizards 3,A,U,28,26,2,0.9285714285714286,21.070049438315234,24.044329844504112,0.9914268020629593,18.153846153846153,17.5
JMP Vampires 3 & JMP Witchcraft 2,A,B,19,17,2,0.8947368421052632,20.174911671294126,23.056704990831,0.9605977731789586,21.705882352941178,17.5
JMP Tree Hugging 2 & JMP Vampires 3,A,BG,34,31,3,0.9117647058823529,19.77455659029199,22.603864592310202,0.9431026673394038,21.451612903225808,19.0
JMP Basri & JMP Enchanted 1,A,W,37,32,5,0.8648648648648649,19.665119945864443,22.36309219953941,0.8993240845583217,21.625,18.4
JMP Doctor 3 & JMP Vampires 2,A,WB,16,14,2,0.875,19.611600517084334,22.49798648538485,0.9621286561001722,22.0,26.5
JMP Doctor 1 & JMP Heavily Armored 4,A,W,17,15,2,0.8823529411764706,19.480835293632424,22.293030232539472,0.9373983129690155,22.133333333333333,25.0
JMP Dinosaurs 1 & JMP Dinosaurs 4,A,G,34,30,4,0.8823529411764706,19.443205506480872,22.137040304301763,0.8979449326069632,15.433333333333334,18.25
JMP Vampires 2 & JMP Vampires 4,A,B,35,30,5,0.8571428571428571,19.4397992151995,22.14354883184842,0.9012498722163063,22.2,19.6
JMP Doctor 1 & JMP Heavily Armored 3,A,W,30,25,5,0.8333333333333334,18.865718976347388,21.471274736412525,0.8685185866883786,20.6,24.8
JMP Reanimated 2 & JMP Vampires 1,A,B,32,27,5,0.84375,18.85850699366062,21.496848987615593,0.8794473313183241,19.185185185185187,16.8
JMP Discarding 1 & JMP Heavily Armored 2,A,WB,24,21,3,0.875,18.70032818232159,21.398050540932985,0.8992407862037979,19.761904761904763,20.666666666666668
JMP Doctor 4 & JMP Heavily Armored 2,A,W,32,27,5,0.84375,18.63187942570009,21.290150333760344,0.8860903026867513,20.962962962962962,19.2
JMP Doctor 1 & JMP Vampires 3,A,WB,38,32,6,0.8421052631578947,18.612719504839827,21.23139990465661,0.8728934666055942,21.65625,24.166666666666668
JMP Spooky 3 & JMP Vampires 2,A,B,26,21,5,0.8076923076923077,18.602351880674043,21.13792957662544,0.8451925653171316,23.0,21.8
JMP Goblins 3 & JMP Smashing 1,A,R,28,24,4,0.8571428571428571,18.598477985559192,21.250131336499518,0.8838844503134421,15.875,21.75
JMP Dragons 2 & JMP Wizards 2,A,UR,28,23,5,0.8214285714285714,18.50496243417542,21.082358455419886,0.8591320070814883,19.08695652173913,18.8
JMP Dinosaurs 4 & JMP Witchcraft 1,A,BG,20,17,3,0.85,18.475872424015215,21.152758925602395,0.8922955005290603,18.647058823529413,23.666666666666668
