J25 Soaring 2,J25 Soaring 2,J25 Fun Guys 2,J25 Fun Guys 2,PT8.8265123S,17
J25 Clerics 4,J25 Clerics 4,J25 Drowned 2,J25 Drowned 2,PT18.3519963S,22
J25 Elves 1,J25 Elves 1,J25 Bookworms 2,J25 Bookworms 2,PT6.1357944S,16
J25 Too Many,J25 Too Many,J25 Elves 1,J25 Elves 1,PT4.299771S,9
J25 Prideful,J25 Prideful,J25 Elves 4,J25 Elves 4,PT12.5579112S,13
J25 Dinner,J25 Dinner,J25 Copied 2,J25 Copied 2,PT6.2663232S,16
J25 Elves 4,J25 Elves 4,J25 Inventive 2,J25 Inventive 2,PT6.4771607S,13
J25 Elves 4,J25 Elves 4,J25 Inventive 3,J25 Inventive 3,PT13.0079718S,13
J25 Bookworms 3,J25 Bookworms 3,J25 Drowned 2,J25 Drowned 2,PT7.683014S,15
J25 Ninjas,J25 Ninjas,J25 Enchanted 1,J25 Enchanted 1,PT11.1305112S,18
J25 Surprise 1,J25 Surprise 1,J25 Angels 1,J25 Angels 1,PT5.5632194S,15
J25 Vampires 3,J25 Vampires 3,J25 Encounter 1,J25 Encounter 1,PT7.5348788S,18
J25 Elves 3,J25 Elves 3,J25 Zealots 3,J25 Zealots 3,PT31.0862878S,18
J25 Soaring 3,J25 Soaring 3,J25 Landfall 2,J25 Landfall 2,PT3.1086949S,12
J25 Vampires 2,J25 Vampires 2,J25 Healers 1,J25 Healers 1,PT27.8172461S,28
J25 Ghastly 1,J25 Ghastly 1,J25 Giddyap,J25 Giddyap,PT19.3701102S,24
J25 Heroes 2,J25 Heroes 2,J25 Soaring 2,J25 Soaring 2,PT4.5978563S,15
J25 Icky 2,J25 Icky 2,J25 Armed 1,J25 Armed 1,PT20.5259385S,25
J25 Icky 2,J25 Icky 2,J25 Zealots 1,J25 Zealots 1,PT5.591816S,18
J25 Vampires 2,J25 Vampires 2,J25 Legion 1,J25 Legion 1,PT14.951198S,14
J25 Warriors 1,J25 Warriors 1,J25 Surprise 2,J25 Surprise 2,PT7.1790209S,14
J25 Healers 3,J25 Healers 3,J25 Burning,J25 Burning,PT13.1179289S,16
J25 Stalwart 4,J25 Stalwart 4,J25 Clerics 4,J25 Clerics 4,PT10.8711245S,24
J25 Legion 1,J25 Legion 1,J25 Stoked 4,J25 Stoked 4,PT13.1568029S,18
J25 Dinner,J25 Dinner,J25 Explorers 1,J25 Explorers 1,PT5.4885502S,16
J25 Legion 1,J25 Legion 1,J25 Too Many,J25 Too Many,PT14.3523637S,22
J25 Goblins 4,J25 Goblins 4,J25 Burning,J25 Burning,PT4.3294101S,15
J25 Explorers 4,J25 Explorers 4,J25 Treasures 1,J25 Treasures 1,PT4.1115648S,14
J25 Grave Robbers 3,J25 Grave Robbers 3,J25 Encounter 1,J25 Encounter 1,PT14.5234101S,35
J25 Armed 4,J25 Armed 4,J25 Heroes 1,J25 Heroes 1,PT11.8502586S,22
J25 Stoked 3,J25 Stoked 3,J25 Treasures 1,J25 Treasures 1,PT2.4264382S,10
J25 Nefarious,J25 Nefarious,J25 Surprise 1,J25 Surprise 1,PT4.3046595S,14
